 ,DA,SA,LL,TV,VEC
1e-05,440,620,2140,1870,580,
2e-05,460,1640,2210,1750,600,
3e-05,380,520,1490,1640,560,
4e-05,400,540,1670,1800,700,
5e-05,480,500,1670,1850,770,
6e-05,470,560,2180,1760,620,
7e-05,420,530,1600,1790,600,
8e-05,430,560,2300,1740,690,
9e-05,390,530,1990,1850,630,
0.0001,460,540,2170,1730,640,
0.0002,450,540,2270,1760,660,
0.0003,470,520,2070,1830,720,
0.0004,420,520,1860,1630,680,
0.0005,500,570,1610,2850,720,
0.0006,500,530,1630,1760,780,
0.0007,590,590,1600,2020,710,
0.0008,480,580,2090,2060,770,
0.0009,740,790,2390,1910,790,
0.001,660,550,2250,1810,690,
0.002,570,500,1550,1670,2280,
0.003,490,490,2070,1790,660,
0.004,590,560,2200,2040,700,
0.005,650,510,2130,1860,640,
0.006,520,520,1750,1740,620,
0.007,530,550,1890,1830,760,
0.008,540,560,1800,1800,760,
0.009,590,510,1970,1790,780,
0.01,630,550,2670,1760,690,
0.02,710,580,2430,1690,570,
0.03,730,630,1700,1940,720,
0.04,670,510,1800,1850,760,
0.05,620,540,1800,1900,710,
0.06,700,650,2070,2080,640,
0.07,570,560,2340,1680,700,
0.08,670,600,2140,1930,760,
0.09,720,600,1970,1890,640,
0.1,620,550,2200,1860,720,
0.2,680,590,2500,1970,660,
0.3,660,620,3590,1870,770,
0.4,700,550,2260,1680,720,
0.5,650,520,2140,1720,740,
0.6,640,650,1840,1960,700,
0.7,680,580,2300,1730,730,
0.8,620,600,1900,1800,670,
0.9,660,520,3700,1740,730,
1,650,670,2490,1870,710,
