 ,DA,SA,LL,TV,VEC
1e-05,1300,6600,12200,4900,1200
2e-05,1400,4001,17100,6600,1300
3e-05,1000,1300,12501,4300,1000
4e-05,900,1100,19800,3900,900
5e-05,1000,1200,8100,5200,1100
6e-05,1500,2701,9100,4900,1100
7e-05,1200,1500,18900,4900,1500
8e-05,1100,2400,18700,4600,1100
9e-05,1500,1900,16501,5600,1300
0.0001,2500,2400,15800,4500,1500
0.0002,1300,2101,14200,6100,900
0.0003,1800,4200,8000,6600,1301
0.0004,1500,4600,8000,5500,1300
0.0005,1500,4100,8600,6200,1200
0.0006,1800,3400,5800,4800,1500
0.0007,2400,2100,15400,4400,1700
0.0008,2000,3800,18500,4800,1501
0.0009,2400,4100,12600,4200,2500
0.001,3301,2500,17700,4800,1600
0.002,1900,1600,12200,3900,1700
0.003,3400,5300,10201,4700,1500
0.004,3000,3000,14100,5100,1601
0.005,3500,2500,16700,4400,1300
0.006,3300,3700,4000,4800,1200
0.007,4500,2900,13000,4700,900
0.008,2600,4100,15300,5700,1000
0.009,2000,3300,11100,4100,1200
0.01,3100,2100,17300,4000,2000
0.02,3500,3300,8500,4900,1000
0.03,2800,2100,7600,4900,1000
0.04,2700,1600,16100,3600,1600
0.05,3600,5800,22201,5000,1400
0.06,3400,3300,9300,4100,1200
0.07,2600,1800,17200,4600,2300
0.08,3200,3000,4000,4100,1500
0.09,4101,3700,3400,4700,1400
0.1,2500,2100,15600,3500,900
0.2,3800,3200,13000,4301,1000
0.3,3100,3200,21201,3700,2300
0.4,3600,1900,2300,3700,1600
0.5,4100,3300,9701,3300,1900
0.6,4100,3201,14200,4500,1300
0.7,3200,3200,13200,5000,1700
0.8,3200,3000,12800,3900,1300
0.9,3300,3600,4300,3500,1400
1,4800,2500,14101,3600,1100
