 ,DA,SA,LL,TV,VEC,CBT
1e-05,5300,265505,957919,2496747,120302,31318296
2e-05,5200,112302,891617,2310644,127103,31528300
3e-05,7400,114702,735414,2307544,119602,29493062
4e-05,6300,112602,791015,2306744,132403,32694322
5e-05,6100,115802,734614,2305443,127403,31020191
6e-05,7501,109302,754714,2306644,119002,31744304
7e-05,7400,129003,733614,2315845,123802,31130492
8e-05,8500,123202,843916,2313644,120402,28452442
9e-05,8100,112202,876717,2323944,122002,42304805
0.0001,8200,116502,747615,2326045,122202,31777704
0.0002,10100,120902,584611,2302544,124002,31710204
0.0003,15701,115402,591211,2320444,125002,32982828
0.0004,14900,129003,578811,2341345,124802,30391578
0.0005,15500,119903,582511,2306444,125103,30393380
0.0006,16200,124702,580511,2307444,130602,31773407
0.0007,17101,126802,596111,2352545,117802,30118375
0.0008,19801,111302,735814,2313744,121703,30949690
0.0009,21101,127002,580511,2308744,120702,29301059
0.001,21200,117802,873317,2319645,123202,31408499
0.002,21901,136102,813715,2316544,123502,31307798
0.003,35100,113603,881417,2368045,120602,32149614
0.004,48401,117902,879116,2359245,124502,34717163
0.005,39301,112402,787515,2526448,124102,33018330
0.006,35201,118702,874017,2311444,123803,36337193
0.007,45201,122403,610811,2326844,124603,30269078
0.008,49201,115902,889817,2327944,120703,32592422
0.009,65001,127503,839816,2312445,122302,32731524
0.01,55501,124102,607212,2325544,119602,31630199
0.02,57501,113602,873617,2325745,119902,30670086
0.03,78401,112902,913518,2497247,122203,33232135
0.04,89802,116802,808515,2463147,120002,33103230
0.05,109602,128202,616012,2314244,122802,32952129
0.06,116502,120002,774015,2306743,124503,32099508
0.07,127803,120802,624412,2519648,135702,31971209
0.08,130302,133703,640312,2353344,121003,33406435
0.09,150702,135303,649013,2362646,126702,33670541
0.1,138203,118902,653612,2313844,118202,31331198
0.2,148403,121602,764815,2370845,122202,32926529
0.3,148303,114402,1716933,2325345,124302,31511104
0.4,148303,116802,1219023,2319344,120003,31109699
0.5,170604,125802,1076820,2311545,122002,31505904
0.6,130802,111802,2173842,2391146,120902,32792129
0.7,140303,126402,1420727,2311744,120403,34391358
0.8,155603,113002,2654151,2497047,119703,32888726
0.9,134802,117103,2740949,2402543,119902,32144673
1,164703,124202,1404627,2345344,130403,32948128
