 ,DA,SA,LL,TV,VEC,CBT
1e-05,4885,209423,850731,2459437,121507,31137980,
2e-05,5340,113692,765569,2305229,121392,30820759,
3e-05,5590,112157,770984,2308379,121202,29362396,
4e-05,7335,113807,774414,2302888,122242,32096438,
5e-05,6935,113217,773009,2308884,121702,30583649,
6e-05,7435,113372,784365,2313209,120867,31850853,
7e-05,7050,114227,799655,2305814,121652,30876314,
8e-05,8710,113307,791150,2375270,120627,31363234,
9e-05,9010,114137,804870,2304744,122882,32512690,
0.0001,9980,113097,779680,2304839,122332,31271202,
0.0002,12895,118447,714083,2325159,122767,30878264,
0.0003,14990,116862,731113,2326064,124262,31543661,
0.0004,15960,119237,679283,2308784,126797,31318317,
0.0005,16545,121412,681138,2326389,123322,31289096,
0.0006,16755,119432,671267,2315084,123997,31492685,
0.0007,17545,118587,699153,2318859,120997,31477280,
0.0008,18565,118472,734374,2318094,121057,31518270,
0.0009,19355,117537,706008,2556003,122012,31763920,
0.001,19850,120102,665232,2310039,122347,31359513,
0.002,25105,119042,660352,2318659,126262,31593417,
0.003,31990,119422,681144,2340764,122742,32195883,
0.004,33695,118372,647578,2319678,121502,31935519,
0.005,37740,118847,729625,2336983,122387,32489511,
0.006,37340,116892,706924,2321204,121477,32067646,
0.007,38875,117052,773306,2341429,122897,32058949,
0.008,40885,115692,744830,2349539,121717,32084872,
0.009,42525,118327,703009,2335464,121947,31866733,
0.01,43286,118317,710924,2328438,120457,32230462,
0.02,65016,120192,661738,2317995,122352,32355035,
0.03,93001,125752,838596,2378657,121457,33491174,
0.04,93531,119787,713089,2561585,122162,31975200,
0.05,104237,122222,729803,2360100,121982,32608881,
0.06,111347,117102,778320,2324380,122567,32235202,
0.07,119692,120787,764344,2347090,122782,32541525,
0.08,125382,120472,817345,2337514,122607,32191917,
0.09,122687,119522,757529,2333254,121472,32683946,
0.1,125637,116152,767099,2366175,122397,31461476,
0.2,145952,123157,992144,2364710,122357,32576253,
0.3,150258,119817,1200658,2325520,121537,32895339,
0.4,152647,120562,1219663,2382825,121747,32430507,
0.5,144792,119827,1381271,2326894,122217,32391367,
0.6,139257,118522,1554084,2371845,122362,32756393,
0.7,144612,119782,1689287,2347334,122337,32624275,
0.8,149462,118107,1714307,2336899,121987,32017769,
0.9,151597,119517,1851605,2379680,122667,33124006,
1,152052,119492,2086164,2336619,123002,32833612,
