 ,DA,SA,LL,TV,VEC,CBT
1e-05,4600,153803,824216,2500348,120602,30986894
2e-05,3700,108702,714914,2307444,120702,31606206
3e-05,6000,112702,851517,2308445,122102,29520065
4e-05,7500,108902,718714,2305744,122803,32676526
5e-05,8300,112402,719314,2295945,120502,32825829
6e-05,5700,109702,859117,2308044,122803,30117677
7e-05,5900,111102,821716,2304144,120902,31409502
8e-05,14300,114502,873817,2303144,117003,32973432
9e-05,7100,108602,835316,2297344,121403,31218198
0.0001,8300,115102,880617,2322644,122002,29955875
0.0002,9800,120602,567011,2317744,120602,30246180
0.0003,10900,117603,696213,2311445,122702,31975713
0.0004,15001,123902,569711,2316544,122402,32195817
0.0005,17200,113003,567211,2487648,118202,32153316
0.0006,18401,108702,718414,2300344,128103,31441002
0.0007,19100,132303,730714,2328845,119502,29845772
0.0008,18501,115202,597611,2316744,118602,33037134
0.0009,18600,121702,596012,2316344,122203,33345539
0.001,20100,128002,690314,2307344,127802,30046976
0.002,28001,120002,630512,2318145,122902,30694488
0.003,33501,111902,734914,2389346,118902,33184536
0.004,27801,127802,566711,2308144,121803,32810728
0.005,37200,116103,727214,2309944,124803,33659645
0.006,30600,116203,706514,2303544,125802,29383463
0.007,36700,122103,824016,2307744,118703,33405440
0.008,35600,120503,565111,2483548,122202,32266818
0.009,40700,113803,843617,2343545,125702,32131215
0.01,49501,116802,818216,2303744,118602,33676445
0.02,56601,126403,860416,2306844,119102,31172700
0.03,86801,137303,584712,2322145,120002,30014175
0.04,103602,122603,590911,6351822,127203,37207214
0.05,141303,142403,615711,2325744,121203,35159675
0.06,130202,127903,651213,2321645,128502,31236897
0.07,117702,123803,609912,2395946,123003,31717807
0.08,121102,120102,632212,2305844,123103,34244556
0.09,131003,114502,952418,2390046,121702,31849910
0.1,124302,111202,783715,2328745,126702,31648606
0.2,161003,139703,768315,2326545,124202,32801128
0.3,156703,114303,1179422,2315945,121202,32889935
0.4,155003,126403,972818,2306244,119403,34044953
0.5,147903,122902,1323425,2307844,122102,30609988
0.6,141803,126402,1076620,2472348,133102,32656527
0.7,153403,125402,1164523,2445847,120602,32791328
0.8,168303,128102,1208724,2361745,122302,30511286
0.9,144403,113202,2789154,2313544,122702,35178774
1,154603,120402,1773534,2305644,120503,33448936
