 ,DA,SA,LL,TV,VEC,CBT
1e-05,3500,262305,862916,2463248,116602,30794596
2e-05,4400,105302,638713,2289744,117202,31319206
3e-05,4000,107802,782116,2278945,116502,29376069
4e-05,3500,106402,680813,2295544,119403,30619694
5e-05,7001,116502,620312,2286444,115502,30331588
6e-05,4600,106802,597812,2286245,115102,31433609
7e-05,6200,110002,636012,2311545,116802,30637094
8e-05,7100,109602,633713,2290645,114002,32254225
9e-05,7100,100002,561711,2275844,117602,31148404
0.0001,8000,100802,562211,2284444,115502,31307608
0.0002,12800,110702,564511,2291845,118802,29327469
0.0003,10600,104802,641013,2319245,117502,31142504
0.0004,12300,111902,681914,2296944,118403,30997501
0.0005,14200,109102,807016,2299045,122302,30321588
0.0006,15600,111003,798415,2316145,117302,33226345
0.0007,16300,109502,702914,2290345,117102,29316968
0.0008,17700,126603,780515,2439648,117402,30364489
0.0009,14700,109302,564111,2293444,122303,31384309
0.001,16800,109202,694614,2293245,119202,30791697
0.002,27201,120602,594511,2307444,122603,32095223
0.003,37101,125603,578811,2316145,129403,31120803
0.004,36301,118902,595411,2305845,122502,31895419
0.005,43101,112802,883717,2310945,124802,28150546
0.006,48401,112902,877917,2312645,120702,36773013
0.007,43100,107502,699914,2301244,124303,32159824
0.008,39301,112402,884917,2310444,123603,32661434
0.009,43301,129002,906618,2382347,121802,34539569
0.01,47601,124102,801916,2406546,121503,31113203
0.02,76301,122302,601912,2312245,123203,32341530
0.03,77001,107502,726315,2406347,114402,33348247
0.04,100102,122802,906718,2348846,123002,30988901
0.05,92302,111402,693113,2319945,121102,32390730
0.06,105402,107802,913218,2300944,119403,32663034
0.07,113602,121302,665313,2447248,118602,31758018
0.08,120302,112202,1058721,2416347,121602,31643615
0.09,119602,117503,739314,2310045,121002,32533232
0.1,109302,104002,706614,2291745,118602,29774578
0.2,130703,122702,1144622,2348446,123102,31817516
0.3,139402,125403,940718,2308344,124202,32313124
0.4,109502,115003,911517,2338045,115903,31447912
0.5,137903,117402,1399227,2305345,122202,33932258
0.6,136403,110002,2025440,2346347,120602,31732728
0.7,129602,114301,1153115,2322030,119602,32173121
0.8,109001,117102,1212316,2320330,122101,31623004
0.9,123404,109203,1323539,2290968,118504,31912142
1,135403,125802,1381226,2305144,130002,34152453
