 ,DA,SA,LL,TV,VEC
1e-05,960,1500,2620,2660,860,
2e-05,980,1240,2060,2750,790,
3e-05,980,1150,2590,2580,850,
4e-05,860,1170,1860,2480,800,
5e-05,880,1300,2170,2490,830,
6e-05,910,960,1760,2590,890,
7e-05,1010,1080,2790,2940,920,
8e-05,1060,2980,2610,2690,860,
9e-05,2210,1270,2710,2610,890,
0.0001,930,1230,3150,2560,840,
0.0002,1090,1350,2250,4320,950,
0.0003,1000,1410,2080,2610,860,
0.0004,1060,1410,1710,2510,790,
0.0005,1170,1330,3970,2900,840,
0.0006,1200,1270,2510,2660,790,
0.0007,1260,1390,2060,2690,830,
0.0008,1420,1420,2010,2970,920,
0.0009,1390,1410,2000,2750,830,
0.001,1400,1360,4120,2630,760,
0.002,1500,1450,2670,2820,840,
0.003,1400,1580,2430,2760,850,
0.004,1510,1440,2650,2790,940,
0.005,1700,1560,2010,551503,980,
0.006,1440,1460,1890,2800,1030,
0.007,1580,1410,2250,2600,830,
0.008,1440,1260,2200,2550,740,
0.009,1600,1680,2160,2960,920,
0.01,1390,1450,3160,2690,870,
0.02,1630,1560,2230,2820,920,
0.03,1910,1460,2490,2560,810,
0.04,1780,1450,2390,2830,870,
0.05,1770,1390,2650,2780,780,
0.06,1870,1530,2130,2790,940,
0.07,1760,1350,2610,2820,830,
0.08,1880,1470,2840,15851,800,
0.09,1720,1420,2490,2480,770,
0.1,1940,1360,2040,2700,870,
0.2,2500,1530,2410,2860,870,
0.3,2260,1490,2670,2640,790,
0.4,2090,1520,2940,2950,950,
0.5,2390,1500,2510,2560,810,
0.6,2040,1550,2300,2670,930,
0.7,2240,1650,1900,2820,980,
0.8,2060,1500,2770,2570,890,
0.9,2180,1300,3290,2660,880,
