 ,DA,SA,LL,TV,VEC,CBT
1e-05,1200,8300,591010,14400,7400,1600
2e-05,600,7001,538609,11500,4800,1400
3e-05,500,11800,358107,10200,11600,1600
4e-05,500,16000,374307,18200,15100,1300
5e-05,400,1700,357306,3300,1100,1400
6e-05,700,29401,546209,18900,28101,1600
7e-05,1200,22301,364306,12700,20101,1400
8e-05,800,7600,357307,17200,7900,1600
9e-05,900,21900,454708,15700,19801,1300
0.0001,1800,15200,612111,22100,12400,1800
0.0002,900,12100,365307,14000,9200,2200
0.0003,600,10901,357806,14600,10100,2000
0.0004,800,36700,364607,6300,32100,1900
0.0005,800,21600,360907,16800,16000,1900
0.0006,800,12600,373906,17801,12700,3300
0.0007,1400,19500,633512,20800,19200,3100
0.0008,1600,38500,495709,18500,37501,1500
0.0009,1600,27800,548010,18700,24501,2000
0.001,1300,30801,502409,13300,27700,1900
0.002,2400,40800,593811,18800,42501,2900
0.003,1800,7000,383908,9000,5800,2400
0.004,1900,42101,461909,16201,38800,1400
0.005,1100,18501,364907,11600,14001,1600
0.006,1700,27000,429409,14900,26101,2100
0.007,2100,30700,423909,27800,29401,1800
0.008,3500,30400,706514,20700,25801,3600
0.009,1800,8100,400408,14201,5800,2100
0.01,1400,29801,366306,22401,22500,1700
0.02,1500,16300,383207,14000,20001,2200
0.03,3800,43600,627712,7700,41801,1800
0.04,3500,26201,398307,16400,23101,2000
0.05,2000,43401,679312,10000,46701,1300
0.06,1600,17100,387307,22501,16500,2000
0.07,2000,37000,428608,7500,32801,1400
0.08,1500,15801,397307,15600,14800,1600
0.09,1900,29701,853315,32901,28100,2000
0.1,1500,28601,412708,8900,23300,2200
0.2,2400,4200,1195122,8300,4300,1900
0.3,1300,11100,480209,15300,10901,1900
0.4,2700,23601,1462926,23701,23700,1900
0.5,1200,11700,569610,10000,9000,2701
0.6,2300,7600,1718231,17500,6701,2000
0.7,2000,9800,654612,20100,10601,2800
0.8,2500,18700,1026119,15100,20401,2700
0.9,1600,2900,2324442,5300,3300,2900
1,2100,25800,2469845,15500,25400,2000
