 ,DA,SA,LL,TV,VEC,CBT
1e-05,700,25401,573610,5800,27801,1900
2e-05,700,9900,500209,11801,9300,1300
3e-05,600,36101,359807,23300,36701,1300
4e-05,600,23601,359006,21601,20100,1400
5e-05,700,5500,382207,13600,6500,1600
6e-05,600,30700,364907,15900,38601,1200
7e-05,500,5600,358907,15800,5600,2000
8e-05,800,16601,358506,13801,15400,1600
9e-05,700,12500,358407,13400,10600,1600
0.0001,700,9000,406308,11700,9600,1600
0.0002,900,7900,361107,9600,7800,1400
0.0003,1200,23801,367807,10800,23300,2000
0.0004,1100,8800,465509,13400,7300,2200
0.0005,1100,13401,468508,21200,14401,1700
0.0006,1200,17900,372307,15500,13200,1500
0.0007,800,21100,367207,13300,16901,1400
0.0008,800,12300,358607,9100,11800,1500
0.0009,1500,4200,556610,11300,3000,1700
0.001,2000,34200,432108,22601,33200,1900
0.002,2400,30901,591410,17001,29000,1800
0.003,1900,46601,595011,5300,44701,1600
0.004,1900,5500,488909,23501,5300,2500
0.005,3201,28400,371806,24601,29000,3800
0.006,1400,42401,610111,17501,36800,1900
0.007,4500,2100,588511,7000,2800,2000
0.008,1600,31100,508610,12700,23500,2500
0.009,2800,11700,546310,24900,12101,2300
0.01,2300,44301,623811,11700,40601,1900
0.02,3900,33801,650412,20100,32901,2400
0.03,3100,25701,392307,15700,26801,1400
0.04,3100,29001,526810,15200,29300,2900
0.05,3300,18700,375507,10300,15401,1800
0.06,1500,33901,976219,14600,31300,1700
0.07,1200,9400,384707,18400,6700,1500
0.08,2800,4500,415907,19801,4200,2000
0.09,1900,19900,636612,29200,17300,2100
0.1,1700,26000,715813,11001,8600,1900
0.2,1100,15001,471208,12301,15200,2300
0.3,1200,16300,475109,12300,22300,1500
0.4,2100,13800,983518,11400,14101,2600
0.5,1700,32800,567711,22500,30901,1800
0.6,2300,21000,1693332,21300,20201,2500
0.7,2600,4300,1432126,14800,6400,1800
0.8,1700,9600,1656030,15100,9600,2000
0.9,3000,1800,1676230,2701,1600,3000
1,1700,19801,784714,23700,14801,2400
