 ,DA,SA,LL,TV,VEC,CBT
1e-05,700,40000,627612,10700,39401,2200
2e-05,600,31101,593210,16501,25500,1600
3e-05,500,38201,388307,4300,28900,1600
4e-05,300,29601,365106,5000,16301,1200
5e-05,500,10000,467909,22400,9000,1700
6e-05,800,44600,603011,13901,41000,2000
7e-05,500,2900,551510,6200,1800,2500
8e-05,500,11900,357407,18900,10100,2300
9e-05,2300,4300,614611,12800,6600,2100
0.0001,1400,32601,548910,21200,29701,2200
0.0002,2400,9700,641111,20301,8500,2000
0.0003,800,29600,397607,18301,18600,3400
0.0004,700,33601,403407,6500,29200,1600
0.0005,1600,13500,541910,23500,15101,1300
0.0006,1300,36601,445108,9900,31101,3100
0.0007,1500,33101,508809,21201,29700,1800
0.0008,1500,3800,596211,5500,3200,3200
0.0009,1600,25301,586810,24901,24600,1800
0.001,900,1200,358206,3300,1100,2900
0.002,1700,10000,490509,11700,10401,1800
0.003,1600,8900,374607,9400,6500,1500
0.004,1600,9300,386106,9001,7400,2100
0.005,2100,18600,565410,21201,18300,1500
0.006,1600,40901,487209,2000,36900,1600
0.007,2400,13301,386907,9300,9700,2500
0.008,2200,33101,677712,5600,31401,2300
0.009,3200,6300,523709,23601,6800,2000
0.01,2000,25100,542210,22701,24300,2200
0.02,1600,33201,614811,24700,32401,1700
0.03,2200,10300,362007,21000,5500,1700
0.04,1000,1500,362106,6200,1900,1600
0.05,2200,18901,622611,20200,16300,1400
0.06,1600,13400,362607,14500,16000,1300
0.07,2200,44601,635511,4600,40901,2200
0.08,3100,31200,706913,3400,31901,3500
0.09,1800,2600,367707,9200,2200,1800
0.1,2100,25701,755913,28501,25800,2000
0.2,1100,7600,425508,12500,8100,1900
0.3,2300,9000,1092219,25300,9200,2401
0.4,2600,3400,536610,15600,3500,2300
0.5,2600,21500,810815,27101,16900,2900
0.6,1800,9800,1711831,26100,9300,1900
0.7,1400,45701,1024518,6100,44600,1400
0.8,1000,28200,1086520,17900,27101,1500
0.9,2501,16800,983417,13100,18201,2000
1,2100,24200,1792932,22701,23100,1700
