tableawards5 , wl2.cpp, tiered <500>, swap(pos, +600, +1000, +2500)
insert, ADA, SA, CBT, LL, TV
asyn,108901,1065014,105901,1426718,107401
syn,20648371,21604484,20645371,21966188,20646871
delete, ADA, SA, CBT, LL, TV
asyn,101751,910111,101501,1435318,101351
syn,4217155,5025516,4216906,5550723,4216755
reorder, ADA, SA, CBT, LL, TV
no framework needed,700,900,3600,2200,3600
swap, ADA, SA, CBT, LL, TV
no framework needed,5100,45701,1814524,31600,95301
query, ADA, SA, CBT, LL, TV
prefetching,7438,2584,13063,3418,5411
non-prefetching,948328,943473,953953,944307,946301


