insert, ADA, SA, CBT, LL, TV
asyn,113901,1050913,102001,1424517,104401
syn,13650071,14587083,13638171,14960688,13640571
delete, ADA, SA, CBT, LL, TV
asyn,97501,952112,97751,1530269,97501
syn,4170001,5024612,4170251,5602769,4170002
reorder, ADA, SA, CBT, LL, TV
no framework needed,800,600,3700,2000,3900
swap, ADA, SA, CBT, LL, TV
no framework needed,5200,400,12500,600,2300
query, ADA, SA, CBT, LL, TV
prefetching,7247,2400,13029,3706,7479
non-prefetching,960898,956050,966680,957357,961130


