 ,DA,SA,LL,CBT,TV,VEC
1e-05,900,1100,1501,20701,2700,701
2e-05,1200,1100,1800,22002,3000,1300
3e-05,700,11701,2700,19102,3200,1400
4e-05,700,900,1800,19201,3801,900
5e-05,900,1000,1100,19401,3301,1000
6e-05,800,1000,1000,17301,3200,900
7e-05,800,900,1100,17102,3300,900
8e-05,1000,1600,2500,22502,3600,1100
9e-05,1000,1000,1300,17401,2600,1201
0.0001,800,500,900,26702,2201,1100
0.0002,1000,700,1300,22202,3600,1000
0.0003,1101,700,1300,34302,3501,1000
0.0004,1100,1200,2100,15202,3500,1500
0.0005,1000,900,2301,17901,3100,1400
0.0006,1201,1000,1400,20901,3101,1000
0.0007,1301,1100,1800,23902,3600,1900
0.0008,800,800,700,17501,2800,401
0.0009,1100,500,1300,18902,3400,800
0.001,1100,1000,1200,27802,3700,1500
0.002,1100,1000,2100,29502,3201,1400
0.003,900,1000,3100,20402,3600,1500
0.004,1100,1000,1700,17302,4100,1800
0.005,1300,1000,1601,31402,3800,901
0.006,1000,700,1100,27202,3200,800
0.007,901,800,1700,21401,3301,1000
0.008,900,800,900,16901,2900,800
0.009,1000,1200,1500,19602,3100,1200
0.01,700,800,800,20101,2601,500
0.02,1100,1101,1400,20201,3501,1600
0.03,1201,900,2600,21502,2800,900
0.04,1700,1100,1500,22802,3400,1100
0.05,1400,1000,2600,27903,3500,1400
0.06,1500,1300,2200,24202,4100,1700
0.07,1500,1600,1700,24502,3901,1100
0.08,1300,1000,1900,19602,3100,800
0.09,1100,701,1200,16501,3000,900
0.1,1400,1200,1600,31702,3300,1001
0.2,1400,1100,3301,26502,3800,1700
0.3,900,900,1300,17102,2600,1200
