 ,DA,SA,LL,CBT,TV,VEC
1e-05,900,1100,2200,32603,3100,1200
2e-05,900,900,1600,26502,4200,1301
3e-05,900,1200,1500,23902,3301,1000
4e-05,601,700,1400,19901,2600,1001
5e-05,901,1100,1700,27402,2600,900
6e-05,901,900,1600,24002,3400,900
7e-05,700,700,1100,16401,3100,1000
8e-05,700,900,1000,14502,3400,1300
9e-05,900,900,2300,15201,2900,1301
0.0001,1000,1000,1801,22701,3301,1300
0.0002,1200,1300,1800,19302,3600,1500
0.0003,1000,1100,2500,21502,3300,1401
0.0004,800,900,1100,17801,2800,1300
0.0005,1200,1200,1900,14101,3000,700
0.0006,1100,1100,1500,22502,3200,1400
0.0007,900,1100,1601,17001,2700,1400
0.0008,900,1100,2700,25402,2700,600
0.0009,800,1300,1200,18702,2400,1400
0.001,700,1300,1100,16102,2300,500
0.002,1100,800,1400,19702,3300,900
0.003,1300,1200,2200,18001,3901,1500
0.004,1401,1400,2100,22201,3501,1300
0.005,1000,1000,1301,20701,3500,1601
0.006,900,1000,1300,17401,4001,1200
0.007,1200,1101,2500,35903,3700,1900
0.008,1101,1100,2200,26402,3600,1400
0.009,1200,1100,1300,21301,3001,1000
0.01,1400,1100,1700,22702,4200,1500
0.02,1500,1200,1601,25802,3800,1600
0.03,1300,1400,1401,22101,3401,1300
0.04,900,1300,1700,15901,3001,1200
0.05,1500,1400,1600,26002,3300,1100
0.06,1500,1100,2101,18001,3300,1500
0.07,1800,1100,2400,23602,3400,1401
0.08,1500,1000,1800,47904,3700,1600
0.09,1500,1301,2100,23402,3000,1800
0.1,1400,1200,2501,23702,3500,1200
0.2,1400,900,1800,24402,3101,1000
0.3,1500,1000,4101,28702,3500,1400
0.4,1600,1000,2000,29903,3400,1000
0.5,1100,900,1800,17501,2900,1000
0.6,1301,1100,3800,21902,3000,1400
0.7,1200,1000,2500,25202,2901,1300
0.8,1200,1100,3900,19702,3200,1700
0.9,1400,1000,3700,26002,3201,1400
1,1500,1400,3300,27803,3200,1500
