 ,DA,SA,LL,TV,VEC
1e-05,700,200,2100,2100,300
2e-05,800,300,4900,1700,300
3e-05,1000,200,8201,2600,300
4e-05,700,400,8900,2600,300
5e-05,700,200,16400,3500,200
6e-05,1100,200,16501,2100,300
7e-05,800,100,14201,1900,200
8e-05,800,100,11301,3100,300
9e-05,1100,200,6400,3800,200
0.0001,800,200,2100,2700,400
0.0002,1200,100,2400,1600,200
0.0003,900,300,2400,3800,200
0.0004,900,200,9300,3001,200
0.0005,1100,300,14000,1900,400
0.0006,1700,200,14001,4000,200
0.0007,3100,300,13801,2300,300
0.0008,2100,200,18700,1900,400
0.0009,1500,300,7100,3200,300
0.001,1000,200,15900,2200,100
0.002,2400,300,5300,3800,200
0.003,1300,200,15501,1300,200
0.004,3601,700,1700,1700,300
0.005,1900,200,3800,1700,400
0.006,2700,500,9100,2800,300
0.007,1800,400,11201,1700,500
0.008,2100,400,8800,2500,500
0.009,4300,400,3600,3900,300
0.01,2100,300,15300,1900,200
0.02,2500,200,5100,1500,200
0.03,3300,200,2400,1000,100
0.04,2500,300,1800,1000,400
0.05,2301,300,3400,2200,200
0.06,2400,300,6400,1000,300
0.07,3700,300,14900,2900,100
0.08,2900,200,3700,1500,200
0.09,1100,1300,15100,900,200
0.1,2200,200,2700,2900,300
0.2,2500,200,16400,900,100
0.3,2401,200,16800,1400,1000
0.4,3500,200,5900,1100,200
0.5,1900,200,6300,1000,100
0.6,3500,300,9700,1000,300
0.7,2200,900,3400,900,300
0.8,2100,300,10600,1501,200
0.9,1800,300,6100,800,200
1,3200,200,10201,1400,100
