 ,DA,SA,LL,CBT,TV,VEC
0.1,365,102,247,240,211,63
0.2,343,58,423,210,256,69
0.3,456,74,296,354,222,84
0.4,358,61,432,213,227,77
0.5,422,76,393,362,327,105
0.6,547,91,407,283,261,85
0.7,362,104,386,199,193,65
0.8,476,82,758,331,293,84
0.9,510,116,741,349,294,89
1,476,80,397,281,278,87
431,84,448,282,256,80
