 ,DA,SA,LL,TV,VEC
1e-05,19500,22663011,52685656,38701,3554364
2e-05,4101,8054346,53161564,69701,1265023
3e-05,5101,18755740,53139363,39501,2955954
4e-05,4400,22781113,52929760,20401,3536064
5e-05,3900,15266277,52634055,69101,2342242
6e-05,5100,19288150,53053862,59901,3010755
7e-05,5700,9191466,53109564,72401,1405525
8e-05,5101,7468835,53167164,54101,1141420
9e-05,5801,16566600,53282166,74001,2531346
0.0001,5600,15308778,52789257,50301,2362743
0.0002,5600,7399535,54006778,39401,1171621
0.0003,5400,9856278,53991779,73801,1538328
0.0004,6900,23202021,53652772,59501,3619165
0.0005,5700,17315414,53575371,64701,2736449
0.0006,5401,17866623,53971377,47401,2794351
0.0007,6901,21641492,53821975,59701,3406162
0.0008,5600,2790451,53325666,16900,424708
0.0009,6000,7141029,53192364,31201,1098519
0.001,3801,38700,53510769,11800,7800
0.002,6900,11073403,53170875,52001,1775632
0.003,6100,12329525,53082772,63501,1917035
0.004,6900,19900274,52731293,41500,3149160
0.005,8100,23343732,52420868,30401,3712068
0.006,6600,21439195,52293764,66201,3368262
0.007,6900,16452707,52477280,56801,2562848
0.008,5600,23484032,52213059,53901,4002074
0.009,5500,17147516,52358464,48401,2696050
0.01,7201,25132862,52264061,24100,3962373
0.02,6100,90702,51624557,23100,15301
0.03,5600,5990411,51555554,50301,941718
0.04,5500,18092633,51593651,31901,2879653
0.05,3500,24130245,51514551,40201,4091675
0.06,6301,4944691,51594250,29901,747614
0.07,7700,8818062,52022360,51501,1377625
0.08,7800,20582980,51639253,13400,3256660
0.09,6500,20913102,51760214,44299,3341636
0.1,6201,16922406,51596533,33601,2725349
0.2,6500,13877875,51716826,57801,2124942
0.3,4500,22474025,52342391,18800,3518367
0.4,7200,12262156,52174264,70301,1911225
0.5,3000,20446483,52723388,14100,3209360
0.6,4100,1840934,52601978,45501,277505
0.7,4600,7199831,52786564,28001,1148721
0.8,4000,19773666,53214085,60701,3228160
0.9,4400,24383347,53819188,45700,3875372
1,5200,4652984,53814780,19301,715213
