 ,DA,SA,LL,TV,VEC,CBT
1e-05,1500,400,1300,700,300,1500
2e-05,900,500,700,500,100,1800
3e-05,500,401,400,600,300,1900
4e-05,400,200,800,400,100,1400
5e-05,500,100,400,500,100,1500
6e-05,400,100,500,300,200,1000
7e-05,500,200,300,1100,0,1700
8e-05,300,0,300,200,0,2400
9e-05,1400,300,1000,900,200,2800
0.0001,400,300,1300,800,100,1400
0.0002,1100,800,600,600,200,1900
0.0003,601,700,1200,1100,600,1700
0.0004,700,200,700,600,300,1100
0.0005,1400,700,900,400,100,1900
0.0006,500,300,2300,1800,300,1800
0.0007,700,700,600,1100,400,1600
0.0008,1300,200,300,900,300,1300
0.0009,1400,200,600,400,100,2300
0.001,900,100,800,500,100,900
0.002,2700,600,1600,800,500,2000
0.003,1800,300,600,300,300,1600
0.004,1000,100,400,600,0,1600
0.005,1400,400,1900,600,100,1800
0.006,2200,200,400,900,200,2700
0.007,1700,200,600,1100,0,2100
0.008,2000,400,1000,900,600,1800
0.009,1200,200,400,500,200,1300
0.01,1300,300,500,400,100,1000
0.02,1300,300,600,600,300,1200
0.03,1600,300,1200,500,0,1800
0.04,1500,300,400,1800,700,1800
0.05,1500,200,400,600,0,1900
0.06,1600,400,2000,800,100,2700
0.07,1700,0,400,500,0,1000
0.08,3000,200,1800,400,200,1200
0.09,1100,200,700,900,100,1800
0.1,1600,400,500,400,300,1600
0.2,1300,200,600,400,100,1800
0.3,2900,400,500,700,0,1500
0.4,1200,100,1000,1400,300,1100
0.5,1300,100,500,600,100,1200
0.6,900,200,2900,1100,100,1000
0.7,2400,700,400,700,300,1900
0.8,1801,100,800,700,100,1500
0.9,1400,0,500,900,0,2600
1,1800,200,1700,600,100,1400
