 ,DA,SA,LL,TV,VEC,CBT
1e-05,700,200,400,700,200,2700
2e-05,400,400,800,400,100,1000
3e-05,300,300,500,200,300,1200
4e-05,600,300,900,400,100,600
5e-05,500,100,900,500,200,1100
6e-05,600,200,1600,1100,200,1700
7e-05,300,200,1600,300,100,2000
8e-05,500,200,900,600,200,700
9e-05,800,200,500,400,100,1000
0.0001,700,200,200,400,200,1800
0.0002,600,100,500,400,100,1200
0.0003,500,200,1000,400,100,1300
0.0004,700,100,300,400,100,1500
0.0005,700,200,600,400,100,600
0.0006,600,200,100,300,300,1000
0.0007,600,200,500,400,100,1100
0.0008,800,100,700,500,100,800
0.0009,1000,200,300,300,100,900
0.001,1100,200,300,400,300,1200
0.002,800,200,300,400,0,800
0.003,1100,200,1100,500,100,1300
0.004,1801,300,700,2300,300,1500
0.005,1000,400,1300,300,100,1100
0.006,1500,400,1700,700,200,900
0.007,1000,200,1500,400,100,1400
0.008,1200,300,1200,800,200,1600
0.009,1300,100,1700,500,100,1000
0.01,2200,200,400,600,200,1800
0.02,2400,500,600,600,100,1200
0.03,1400,100,600,400,100,1000
0.04,2800,300,1400,700,200,1500
0.05,1200,200,1200,500,0,2500
0.06,2901,200,500,500,0,1300
0.07,1300,300,300,500,200,1300
0.08,1300,100,400,500,100,1300
0.09,2100,100,500,400,100,2200
0.1,1200,100,400,700,100,2000
0.2,1501,100,1400,900,100,1200
0.3,1700,200,500,200,100,900
0.4,1600,200,300,600,0,1700
0.5,1700,300,1200,500,200,1700
0.6,1700,0,800,800,0,2000
0.7,1400,100,800,300,100,1800
0.8,1200,200,1400,700,100,2000
0.9,1500,200,1000,1100,300,1700
1,1500,300,3200,500,100,1400
