 ,DA,SA,LL,TV,VEC,CBT
1e-05,1400,400,600,800,300,1500
2e-05,300,300,400,1100,300,2000
3e-05,600,100,400,600,100,1200
4e-05,500,100,200,600,100,1200
5e-05,600,100,1400,700,100,800
6e-05,300,100,300,700,0,2400
7e-05,400,100,300,700,0,1000
8e-05,300,600,900,500,300,900
9e-05,200,500,1100,300,200,1300
0.0001,300,100,500,500,100,2400
0.0002,400,100,400,501,200,1000
0.0003,2700,300,400,400,100,700
0.0004,900,200,800,500,100,2400
0.0005,1300,200,1500,1200,200,1501
0.0006,1100,300,400,600,200,1800
0.0007,600,200,400,600,300,1900
0.0008,2400,100,400,500,200,3000
0.0009,1100,100,500,500,0,2300
0.001,1000,300,700,1300,100,1400
0.002,1900,100,400,900,100,2000
0.003,2500,400,900,900,300,3200
0.004,1800,300,1200,700,100,3301
0.005,1300,200,500,800,200,2300
0.006,1200,300,1900,900,300,900
0.007,1400,300,1200,801,0,2000
0.008,1700,300,1100,700,100,1500
0.009,2001,200,600,500,300,1700
0.01,1500,300,900,1600,100,1600
0.02,2901,100,800,400,100,2000
0.03,1400,200,500,500,100,1400
0.04,1800,100,900,700,100,1400
0.05,2200,300,1200,900,200,1700
0.06,1901,300,1600,1100,700,1300
0.07,1600,200,500,800,100,1500
0.08,1200,600,3400,400,500,1100
0.09,2000,300,1800,500,100,1100
0.1,1700,400,600,500,300,1300
0.2,1400,100,900,1400,0,2100
0.3,1800,200,1800,1900,100,1400
0.4,1000,400,600,700,400,1901
0.5,1600,200,1000,600,100,900
0.6,1500,100,900,600,200,1900
0.7,1800,300,1000,900,200,1900
0.8,1500,300,300,500,100,1700
0.9,1100,200,2100,500,300,900
1,1100,300,800,500,300,2200
