 ,DA,SA,LL,TV,VEC
1e-05,1080,197493,5735825,18870,184928,
2e-05,885,204978,5763731,28985,188398,
3e-05,725,273040,5653639,29655,256074,
4e-05,635,181233,5475361,30580,169403,
5e-05,880,216829,5409279,30845,205803,
6e-05,680,203223,5360608,29675,200123,
7e-05,715,201268,5338668,30375,184068,
8e-05,770,227774,5348263,31940,215589,
9e-05,730,211243,5368584,28740,196808,
0.0001,660,212693,5315177,28230,201188,
0.0002,805,198273,5372709,30260,186833,
0.0003,940,215584,5297832,26115,200833,
0.0004,765,162998,5290152,27385,154002,
0.0005,945,199488,5239986,29665,189933,
0.0006,925,160547,5284792,25245,151062,
0.0007,910,222238,5298537,31525,223479,
0.0008,945,236509,5383739,30750,224898,
0.0009,950,228364,5517581,34555,221698,
0.001,1080,208538,5555977,29295,215493,
0.002,1035,124727,5291612,23930,120222,
0.003,1035,185873,5352288,29875,178493,
0.004,1125,170788,5393859,30355,164378,
0.005,1040,170668,5337328,23725,162047,
0.006,1055,189603,5796333,28480,386272,
0.007,1345,190843,5299937,26495,187578,
0.008,1195,198328,5325413,26535,191018,
0.009,1015,232564,5272627,28475,229344,
0.01,1105,181223,5298272,27985,174358,
0.02,1260,163238,5301098,22535,158813,
0.03,1400,181378,5344528,25890,180478,
0.04,1385,158622,5289192,24770,159953,
0.05,1610,191823,5288872,26320,206243,
0.06,1210,173923,5333783,23480,174218,
0.07,1385,220609,5299367,29105,229709,
0.08,1450,170433,5321683,26585,179858,
0.09,1555,191368,5522977,28010,197798,
0.1,1190,212243,5254042,25210,224824,
0.2,1745,217824,5425880,28275,215628,
0.3,3510,193908,5548103,27315,193473,
0.4,3310,177073,5538224,27760,171783,
0.5,3060,208759,5356969,24990,205623,
0.6,3040,181968,5333338,27815,178548,
0.7,3095,180938,5766951,27650,181633,
0.8,2645,194423,6007541,24945,197318,
0.9,2715,224694,5872991,25090,229479,
1,2540,251754,6049140,24065,247059,
