 ,DA,SA,LL,TV,VEC
1e-05,1300,374907,5993013,20601,335106
2e-05,1700,284305,5856611,40600,258305
3e-05,800,428408,5764909,10700,383908
4e-05,500,272605,5721308,40500,242505
5e-05,700,96402,5637506,25000,99302
6e-05,500,294506,5547504,34101,275205
7e-05,500,269905,5512104,33701,249004
8e-05,900,244705,5444503,42500,227005
9e-05,600,360307,5459303,20901,335006
0.0001,700,296005,5440603,37301,273105
0.0002,700,213904,5438803,40200,200004
0.0003,500,9501,5419702,18200,9800
0.0004,600,95701,5357101,16901,89301
0.0005,600,196103,5345701,45201,188604
0.0006,700,282005,5376502,39300,269905
0.0007,600,359307,5339000,35901,331206
0.0008,700,123703,5612606,34700,127803
0.0009,900,217904,5601406,42601,210204
0.001,900,195704,5442003,49301,175903
0.002,600,212804,5419203,40600,203204
0.003,700,204104,5396802,47301,199804
0.004,600,257305,5469103,30000,242005
0.005,700,297105,5355401,32001,280705
0.006,700,221404,5271500,40700,214404
0.007,1500,103902,5295900,14200,100902
0.008,1100,283606,5296200,37600,277006
0.009,800,356807,5348801,27600,343907
0.01,700,393908,5232799,26500,369107
0.02,1000,166303,5318100,15301,169903
0.03,900,192103,5629807,39500,219205
0.04,800,19100,5391402,4100,21300
0.05,800,33601,5292199,19601,34800
0.06,600,78202,5342801,15500,75901
0.07,1200,134503,5281199,15901,140502
0.08,800,99401,5285500,12900,103002
0.09,1100,84802,5222498,12900,86602
0.1,1000,122302,5195498,13600,126903
0.2,1500,288705,5499904,48401,290905
0.3,4100,220404,5198898,38200,219605
0.4,2600,36601,5337900,21201,38301
0.5,2400,187403,5352601,17001,180703
0.6,12100,201304,5204898,26201,165503
0.7,3700,80901,5561902,29001,71001
0.8,2400,112202,5309105,30000,99202
0.9,2700,63601,5307104,30900,53001
1,1600,393208,5998615,4000,369607
