 ,DA,SA,LL,TV,VEC,CBT
1e-05,4600,261605,822615,2502145,116302,31028756
2e-05,6400,113902,720613,2302541,111902,31325662
3e-05,5500,104102,885816,2307442,114602,29091821
4e-05,16600,109902,716213,2320442,112302,32385880
5e-05,7700,108402,655511,2306841,114002,32599385
6e-05,6500,105302,896516,2816150,114802,38324787
7e-05,9000,99301,875916,2287641,113502,31326462
8e-05,10500,102102,874316,2302741,115302,31500665
9e-05,10700,106102,899916,2298441,118302,32770688
0.0001,9600,117202,731213,2293241,111202,31963173
0.0002,12300,113102,573911,2362543,113302,31834770
0.0003,14000,114302,874816,2552446,112502,31044356
0.0004,14200,105502,820415,2320941,118602,32366080
0.0005,16300,119902,577011,2316841,113902,37884078
0.0006,16500,121002,787614,2295841,112402,30501446
0.0007,17100,122202,596911,2297241,112902,30931654
0.0008,18000,117602,757114,2307441,116202,29837234
0.0009,15800,114302,638111,2311542,114402,32447481
0.001,18700,104302,848515,2322541,114902,32644385
0.002,17800,117402,565711,2318141,118602,30791751
0.003,19901,111802,562410,2294141,113802,32642784
0.004,29801,118802,739813,2300241,124902,32190276
0.005,32701,117902,573010,2319642,116402,31839870
0.006,34501,114302,747913,2305042,114202,33143493
0.007,38101,121902,835115,2402543,118702,31737968
0.008,34401,102902,822314,2307941,115202,33109593
0.009,46601,119402,782814,2301841,116002,33224895
0.01,43501,146102,570010,2321241,122303,31286962
0.02,64602,114402,575210,2308041,113802,34005110
0.03,80502,100002,880315,2454944,118902,32160478
0.04,85002,107502,790514,2293941,113902,32028975
0.05,85602,105002,697212,2317242,111202,32437982
0.06,103602,111602,717713,2386643,127902,27733500
0.07,106702,117502,610111,2299641,113602,33442501
0.08,120702,105402,975317,2338542,116502,32648987
0.09,130002,134803,853315,2329042,113102,29121723
0.1,129302,118703,629511,2382443,120302,32392781
0.2,140403,114202,747813,2298341,114402,31729369
0.3,149203,119302,1301023,2367843,115702,32291079
0.4,157003,119702,973918,2295041,113802,29906936
0.5,149403,109402,1047119,2311341,116702,32838489
0.6,139511,119809,1165888,3053831,111308,38463809
0.7,146903,117802,1254922,2341842,112202,33008902
0.8,111502,109002,1223422,2401044,110902,31523276
0.9,129702,119102,1278124,2339243,112002,32679695
1,136602,99402,2984455,2303343,113702,32872803
