 ,DA,SA,LL,TV,VEC,CBT
1e-05,3400,182002,862712,2498934,115602,31190022
2e-05,4801,105701,833711,2330431,118002,28253083
3e-05,18600,102701,861812,2296431,111502,33558255
4e-05,5300,103202,865411,2309231,116802,33306552
5e-05,5100,104502,919112,2299132,113801,29540300
6e-05,7101,113201,741910,2347032,112601,31992233
7e-05,7300,102201,819811,2317331,114002,31328625
8e-05,8500,106902,920212,2351132,116601,31925133
9e-05,7900,110202,740910,2298531,112901,32384939
0.0001,7700,102201,892312,2291931,112001,32050435
0.0002,10901,118601,576107,2297931,120702,30361612
0.0003,15400,114802,713610,2300931,114602,31542527
0.0004,12900,116101,568408,2299331,117101,31023921
0.0005,17700,121502,932813,2308232,114401,31903332
0.0006,16401,101701,920112,2309632,114101,34620469
0.0007,17701,110501,875612,2300631,117901,26643561
0.0008,15301,103801,825611,2301231,113302,28658888
0.0009,15500,115202,562407,2304131,112502,33565555
0.001,14700,115901,600109,2304031,119102,33617855
0.002,21600,109802,795111,2297131,114301,32251437
0.003,33801,118401,775210,2302232,113601,32989947
0.004,34401,113901,579808,2333731,118302,31650729
0.005,32400,110402,764910,2320532,112101,30707616
0.006,42100,104202,904213,2307442,116502,33436158
0.007,37400,105502,900617,2311142,116202,33290399
0.008,46401,112002,585411,2296441,116602,34914529
0.009,45501,112102,585511,2341942,119502,33986112
0.01,41000,100102,835515,2282441,113402,30864556
0.02,63001,117603,762318,2294652,112303,31150313
0.03,73602,117802,585010,2308041,109502,31881959
0.04,85501,116102,590611,2313542,112302,33459212
0.05,94802,105901,869216,2342443,117502,29990252
0.06,97502,116702,604511,2440344,115302,33013190
0.07,118002,100902,986818,2298442,112002,31525575
0.08,112102,113802,885716,2309142,115902,31456873
0.09,110202,114702,841616,2392443,118102,34020511
0.1,115603,110202,682012,2485346,116902,30635858
0.2,139103,119902,764514,2298442,113802,32312988
0.3,137803,114502,870216,2303542,115402,34928333
0.4,144702,119002,960218,2310542,116803,31767778
0.5,142303,110502,1417026,2299442,117502,33549910
0.6,159303,114402,1155421,2349742,113702,32831898
0.7,137202,107702,1292524,2293042,110702,31887380
0.8,142802,129603,1228423,2312642,114702,34219722
0.9,142203,115902,1299723,2313842,116102,30789562
1,146503,103702,3155057,2409743,116803,32539192
