 ,DA,SA,LL,TV,VEC,CBT
1e-05,3400,271505,892016,2487846,117002,30800464
2e-05,4100,109802,772414,2683250,107102,33149907
3e-05,4300,108902,745814,2298242,114802,31534777
4e-05,5800,110102,764614,2294342,115202,29884848
5e-05,7100,106502,880416,2297842,116502,31011366
6e-05,6600,114302,779014,2297142,125303,29196333
7e-05,6500,113802,767414,2319042,125002,33263208
8e-05,8200,112402,921117,2310042,115802,31312172
9e-05,8000,116702,725413,2305942,114102,33176406
0.0001,7700,115202,736113,2311242,115302,31274572
0.0002,12400,105702,836515,2306842,116402,33224707
0.0003,13900,101402,872816,2317543,113302,31573776
0.0004,12401,109402,616811,2301042,115402,30651260
0.0005,15301,114002,569710,2302142,115702,29624541
0.0006,15000,108802,804415,2305642,127303,30266452
0.0007,17500,111502,590511,2349043,125602,31148069
0.0008,19101,107702,788214,2298842,121502,34929038
0.0009,16400,114602,570011,2305942,114002,30882864
0.001,14201,114502,569210,2651049,113702,32162887
0.002,25900,104602,733514,2300242,116303,33718115
0.003,26201,116502,579110,2300242,116802,32673097
0.004,31901,130702,582310,2305242,113802,33364810
0.005,40800,117102,590211,2370644,115202,32914201
0.006,47901,109302,778014,2302742,114402,31621377
0.007,39901,116302,592811,2343843,112702,32536394
0.008,24101,100602,588810,2278541,110502,30467057
0.009,44501,114902,586111,2302242,115502,34068922
0.01,54501,119902,750114,2303842,112702,31054068
0.02,77101,117302,836815,2308642,121602,34078918
0.03,92102,115002,637211,2312242,119902,33346013
0.04,95602,113702,1017919,2446045,115702,32436793
0.05,102502,118402,656412,2312543,116502,31001167
0.06,116002,116002,1143821,2334142,124503,33225308
0.07,114002,116003,883116,2297242,113603,30838463
0.08,130002,119402,690413,2315343,116302,33755219
0.09,126303,108102,1017418,2304242,114702,32283192
0.1,127102,105602,1236923,2299141,117802,31596468
0.2,139602,105002,1517228,2311142,113302,32049186
0.3,125502,111202,840016,2335543,119502,30203552
0.4,135403,107502,1703431,2346443,118202,33333909
0.5,132703,112802,1214422,2390944,116202,32846901
0.6,137903,110902,1060819,2473545,115902,30218954
0.7,146602,101402,2156939,2288141,113902,28809123
0.8,150903,104102,2582147,2330343,117602,32908201
0.9,140703,111602,1400426,2461245,115302,32165488
1,142102,115102,1748323,2307732,117801,33797258
