 ,DA,SA,LL,TV,VEC
1e-05,5400,10074483,14429063,44170304,6872525
2e-05,3600,8073947,14086556,39122213,10699495
3e-05,5500,6256713,17083611,37196477,9864079
4e-05,5600,6896225,17836925,38358899,10140884
5e-05,6700,5281796,19215150,37671886,10124384
6e-05,5900,6317215,16249395,34897836,10677494
7e-05,5400,5869006,14778670,42534474,11726613
8e-05,6200,6804524,17829425,39192214,11321306
9e-05,5901,5668903,14991972,37804289,11177103
0.0001,6800,9312969,14903872,39332516,10674494
0.0002,8200,5477200,18727841,36212659,8431254
0.0003,6500,7474236,16200395,37608085,7073329
0.0004,7700,5807302,15374970,37297455,10872191
0.0005,7900,7457631,16120683,38013567,11306499
0.0006,8401,11077594,44238076,71417654,11952710
0.0007,9600,5640899,19533043,36037433,10243580
0.0008,9801,7616238,18736140,39695522,10175385
0.0009,7900,6373916,19566256,35574046,10163885
0.001,8500,9816479,14555264,39667121,7760041
0.002,9100,5407098,14415662,37281375,10812196
0.003,10300,9410973,14440764,38865111,11063603
0.004,13101,7610738,16642603,40058630,10775296
0.005,11000,8446454,16259996,38699205,7720441
0.006,14101,6333813,14653362,37643274,10630591
0.007,15300,7594937,16638901,40132525,11751312
0.008,15200,6116311,14650967,37415480,10893298
0.009,17301,6674521,15081274,39221612,10812396
0.01,14800,5403899,18864143,35002436,11739413
0.02,21200,9432921,13603874,38918199,10225631
0.03,25501,5489999,18673636,40088322,11781612
0.04,64401,4850688,16676900,39052803,10868495
0.05,71401,9345269,13931551,39053602,7760740
0.06,82901,9232066,13648946,37302672,11057299
0.07,82101,5376869,13328173,38945303,11260246
0.08,93702,10352687,11123401,44374002,7362334
0.09,103002,6799223,16894906,39184708,11580809
0.1,119503,5956507,17254312,34759928,11194602
0.2,118602,7367835,19043447,36367764,10299788
0.3,150803,7298033,14664768,39874429,10796098
