 ,DA,SA,LL,TV,VEC,CBT
1e-05,700,700,4200,3600,2400,24201
2e-05,800,800,4200,3600,600,21901
3e-05,400,600,1400,3600,700,20300
4e-05,500,600,1300,3600,600,21101
5e-05,800,600,3601,3600,600,16700
6e-05,2200,800,2200,4000,300,20400
7e-05,600,800,1300,3600,900,26601
8e-05,1700,500,1400,3300,500,29001
9e-05,900,1400,1200,3601,800,34200
0.0001,500,400,1100,3100,700,28401
0.0002,1200,1400,3000,4700,500,22200
0.0003,1000,1200,1600,5000,300,22101
0.0004,1800,1100,2701,3800,1000,39100
0.0005,1400,1100,1700,3900,900,29601
0.0006,1100,1100,2700,3700,600,30500
0.0007,1600,900,2200,3400,300,27401
0.0008,1800,1500,1600,3800,600,20400
0.0009,1700,1400,2200,3600,2000,19901
0.001,1300,1100,4101,3900,600,24700
0.002,900,1000,2700,3600,500,33800
0.003,3500,1000,2900,3300,400,37201
0.004,3000,1000,3700,3500,600,30501
0.005,1800,1900,1500,3700,400,32801
0.006,2400,2500,1300,3400,300,35300
0.007,2400,1100,1600,3400,700,34701
0.008,3101,1000,2000,4000,200,30400
0.009,5500,1200,2100,3700,600,26701
0.01,3300,1100,2500,4300,300,35200
0.02,3900,700,1500,3500,400,24501
0.03,4300,1100,3000,4500,600,32001
0.04,4400,400,2400,3900,300,35601
0.05,4400,900,3900,3100,500,32201
0.06,5900,1000,1900,3400,600,25701
0.07,5200,3100,2000,4100,600,29201
0.08,5900,1100,3400,3500,1100,28301
0.09,5500,2801,1900,4000,600,31700
0.1,6101,1000,2100,3100,400,27200
0.2,6700,800,6400,5000,500,31701
0.3,6000,1101,7500,3900,800,31300
0.4,4800,1000,3400,4200,900,29000
0.5,6500,1000,2700,3700,1700,26701
0.6,6500,1000,2700,4100,400,33901
0.7,3900,600,2000,3400,300,32901
0.8,4200,600,1800,3700,300,33001
0.9,4500,1500,2300,4500,400,35801
1,6000,1300,3900,3500,500,37801
