 ,DA,SA,LL,TV,VEC,CBT
1e-05,800,4700,1200,3600,2301,35500
2e-05,800,1100,1200,4400,600,19500
3e-05,1500,2300,2600,3400,700,27600
4e-05,400,400,2400,3300,900,20800
5e-05,1100,1100,1500,3300,700,27800
6e-05,500,800,1400,4000,600,14700
7e-05,500,800,1400,3300,300,25200
8e-05,500,500,1100,3200,600,24000
9e-05,1600,600,1100,3400,300,33301
0.0001,1200,300,1300,3400,300,29500
0.0002,800,1300,2500,3200,400,25700
0.0003,2900,1100,2800,4501,600,31200
0.0004,1000,900,4000,3900,600,26801
0.0005,1400,1000,1200,3700,500,31001
0.0006,2500,800,2100,3601,400,36600
0.0007,1200,1100,4300,4400,500,27601
0.0008,1700,2400,2400,3800,500,32801
0.0009,700,2400,1300,3400,600,24300
0.001,1100,1100,1800,3800,500,29300
0.002,2100,1500,3200,3100,600,27700
0.003,2100,1100,1600,3200,700,33601
0.004,2800,1200,4400,3900,600,29201
0.005,1500,1000,1200,3900,400,34901
0.006,3000,1100,1700,4800,700,26400
0.007,2100,2000,2200,3900,500,33601
0.008,2900,1300,1600,3300,500,36901
0.009,4300,1200,2000,4500,500,31901
0.01,3400,1100,3300,3501,600,32200
0.02,4900,800,2000,3800,400,39001
0.03,4200,1300,2800,4200,400,34101
0.04,4101,1900,4200,3700,600,28300
0.05,4500,1000,1300,3501,600,29900
0.06,4700,1600,5000,3500,400,37301
0.07,5000,800,3200,3800,600,26900
0.08,5000,1400,3300,3600,500,33301
0.09,4600,1500,3600,3901,600,35500
0.1,5000,1800,5400,3600,1100,23200
0.2,4000,600,1400,3700,800,34501
0.3,3300,600,1400,3300,400,21500
0.4,4200,1200,2200,4401,300,30300
0.5,5300,1200,2000,4600,700,32901
0.6,6000,1300,3900,3700,600,20701
0.7,6100,1300,2400,3400,500,36701
0.8,5300,1200,3101,4100,700,27400
0.9,4800,1800,1900,3900,600,31401
1,5000,1600,3400,3400,800,33901
