 ,DA,SA,LL,TV,VEC,CBT
1e-05,1100,1100,2400,3800,3200,33901
2e-05,1100,600,2501,3500,600,22600
3e-05,600,1000,2600,3500,1000,26301
4e-05,400,500,2800,3200,400,30600
5e-05,600,500,1300,3600,600,31700
6e-05,600,600,1100,4200,1000,21901
7e-05,400,600,1000,4100,400,21400
8e-05,400,1300,1300,3300,800,19900
9e-05,600,700,1200,3200,300,36201
0.0001,200,800,1300,3300,600,22301
0.0002,1600,1000,2200,3500,300,31100
0.0003,1200,1100,2100,4100,800,27501
0.0004,900,900,1300,4501,400,30700
0.0005,1600,1700,2900,3400,800,36301
0.0006,1300,700,2300,3100,500,32100
0.0007,1600,1000,1200,3600,300,31700
0.0008,1900,1000,2500,3500,400,35601
0.0009,1700,1000,1400,5000,400,43501
0.001,1000,1000,1500,4300,400,30301
0.002,2200,1400,2600,3500,1600,31300
0.003,1900,1800,2000,3900,500,32701
0.004,1500,700,2100,3600,300,31101
0.005,1900,1800,1500,3401,1200,28300
0.006,2900,1100,1500,4101,300,27500
0.007,2200,1900,2400,3700,500,33901
0.008,2101,700,1400,3400,700,36700
0.009,4400,1100,1800,3800,600,25500
0.01,3600,1200,1900,3600,601,29000
0.02,4300,1000,1900,3700,12100,30701
0.03,4101,1900,3400,3800,500,30800
0.04,3400,1100,2400,3400,900,25801
0.05,4400,900,2000,3800,500,26901
0.06,4500,1500,2700,3901,400,34100
0.07,5200,1900,3200,3500,400,32101
0.08,4800,1300,4200,3300,600,30501
0.09,5300,900,1600,3701,600,31700
0.1,6000,1000,1500,3900,500,36001
0.2,5000,1800,1900,3400,800,33201
0.3,5600,900,2000,4000,500,34801
0.4,5400,1400,2800,3200,500,30901
0.5,4300,800,1700,4100,300,35701
0.6,3900,600,2600,3500,400,47501
0.7,4800,1300,2201,3800,400,36300
0.8,5600,1200,3500,4100,600,25501
0.9,4400,1400,2700,4100,400,37201
1,5100,1100,3700,3300,800,28901
