 ,DA,SA,LL,TV,VEC
1e-05,4900,3008758,9344178,23897857,1108821
2e-05,7000,1032320,9360879,22864037,1055320
3e-05,6100,1047720,9363179,22870937,1081220
4e-05,5600,1070621,9284777,22846537,1079020
5e-05,7301,1149922,9504381,22877237,1162822
6e-05,6100,1328726,9379379,22911138,1148722
7e-05,6201,1111521,9445280,22911838,1122721
8e-05,5300,1052320,9403980,22914338,1132722
9e-05,9000,1172622,9280978,22855136,1080321
0.0001,6800,1159822,9278177,22871537,1143422
0.0002,8900,1119322,9204276,23004339,1094921
0.0003,7400,1207923,8546463,22917738,1165823
0.0004,15100,1303425,9706786,22892737,1119922
0.0005,9200,1138422,9673385,22891237,1151722
0.0006,10000,1344026,9375379,22959339,1161022
0.0007,10200,1053720,9283878,22903237,1087221
0.0008,12101,1108221,9012972,22943238,1104421
0.0009,11901,1115821,9326578,22928038,1233424
0.001,11500,1227423,9292278,22967039,1159922
0.002,20001,1270524,8857769,22902938,1095821
0.003,21300,1293525,9380979,22913738,1119522
0.004,25900,1057521,8131255,22871137,1077521
0.005,28901,1061020,9221976,22860537,1082021
0.006,28701,1283824,8857269,22947137,1101721
0.007,31201,1319425,9196175,22921337,1108121
0.008,32701,1140022,9090373,22928437,1287925
0.009,30801,1189722,7930051,22940737,1099121
0.01,33101,1030520,8847268,22903537,1106221
0.02,44901,1310325,9113374,22984240,1326825
0.03,73701,1201823,9438479,23012537,1199423
0.04,67601,980919,8718567,22865138,1085121
0.05,84101,932418,8410961,22866039,1128621
0.06,94198,1032586,8115886,22914678,1125084
0.07,104102,1052119,8329051,22945514,1097119
0.08,117801,1212517,8889620,22992312,1171916
0.09,111401,1434617,8797403,23029269,1149113
0.1,111001,1117314,8799311,23112690,1156315
0.2,142703,1030319,9088672,22911933,1064720
0.3,155103,1085920,9619181,22962732,1010719
0.4,152803,1226523,8541163,22958737,1092620
0.5,140303,1003019,9263576,22967236,1089521
0.6,136703,1304825,10146793,23027938,1195623
0.7,150003,1232824,8092954,22982437,1107621
0.8,130502,1273224,9225876,22986437,1098521
0.9,140003,1103021,11497118,23032638,1179423
1,136303,955718,9822786,22987736,1069420
