 ,DA,SA,LL,TV,VEC
1e-05,4860,194983,822389,2093286,126777,
2e-05,4030,111446,667701,2041686,110217,
3e-05,4435,111806,665206,2035211,109701,
4e-05,3720,115417,639911,2030540,109687,
5e-05,3990,110461,601035,2031825,111612,
6e-05,3970,112106,589700,2071001,108831,
7e-05,4765,109271,694042,2034895,110132,
8e-05,4385,109441,628011,2027620,109951,
9e-05,5125,107296,715872,2036096,110882,
0.0001,4880,110491,652806,2029735,109731,
0.0002,6105,115697,789088,2042836,112991,
0.0003,6360,113162,807464,2055966,110797,
0.0004,7165,115362,808029,2117487,111096,
0.0005,7110,116167,789049,2048021,110736,
0.0006,7305,115877,794884,2105337,116512,
0.0007,7550,116317,800519,2078426,135277,
0.0008,7765,110151,801069,2144473,111336,
0.0009,7670,113111,801794,2044241,110311,
0.001,7245,117907,783118,2048536,111512,
0.002,8090,113127,796179,2029270,111496,
0.003,8600,113147,814099,2028265,112231,
0.004,9330,114572,805169,2029835,114222,
0.005,10750,117012,789574,2031100,111756,
0.006,10865,115372,803359,2057126,110906,
0.007,11125,110016,807664,2033005,112347,
0.008,11885,115527,788773,2027985,112642,
0.009,12125,115852,783963,2029996,113327,
0.01,12820,108882,804154,2029120,111346,
0.02,29750,114407,797619,2028236,112407,
0.03,52071,112556,807409,2026100,111416,
0.04,62221,119187,807154,2025915,112572,
0.05,54925,115646,798797,2029586,114121,
0.06,52991,111696,813064,2029755,112801,
0.07,56211,115641,812064,2027215,112491,
0.08,57926,116707,802969,2030765,113632,
0.09,62186,116347,814754,2031185,111851,
0.1,61821,109691,827514,2032570,112781,
0.2,63296,116917,818599,2028421,113472,
0.3,58996,112416,827099,2026401,114102,
0.4,64321,107281,862945,2028520,111986,
0.5,66041,115162,842754,2024830,112977,
0.6,61911,113337,874525,2031226,112051,
0.7,63826,114602,874870,2029005,111546,
0.8,62425,112247,915571,2029150,115007,
0.9,62611,110346,948346,2031500,112332,
1,61961,114927,946986,2027960,111987,
