 ,DA,SA,LL,TV,VEC
1e-05,450,340,1710,1310,620,
2e-05,350,230,2780,1210,520,
3e-05,290,230,2690,1160,520,
4e-05,270,310,1830,1170,530,
5e-05,290,310,1960,1230,440,
6e-05,310,310,2520,1220,480,
7e-05,410,290,2240,1440,550,
8e-05,310,320,2320,1330,410,
9e-05,330,300,2100,1260,590,
0.0001,310,260,1760,1240,490,
0.0002,320,300,1860,1270,490,
0.0003,340,360,2050,1310,430,
0.0004,370,270,2320,1360,350,
0.0005,370,270,1720,1180,470,
0.0006,350,280,2390,1320,410,
0.0007,400,340,2090,1160,420,
0.0008,400,290,2080,1210,400,
0.0009,360,330,2460,1290,560,
0.001,380,320,2260,1240,370,
0.002,470,290,2190,1180,510,
0.003,400,350,2280,1430,460,
0.004,460,290,1400,1250,400,
0.005,420,270,1830,1320,410,
0.006,480,300,2250,1270,300,
0.007,460,310,1730,1380,350,
0.008,410,280,1950,1280,490,
0.009,410,300,2080,1220,450,
0.01,400,260,2480,1330,540,
0.02,430,370,1760,1220,450,
0.03,520,350,2100,1300,350,
0.04,490,260,1740,1320,430,
0.05,410,320,2240,1170,520,
0.06,490,360,1810,1330,410,
0.07,470,320,1890,1200,330,
0.08,460,310,2450,1160,490,
0.09,490,290,1670,1120,570,
0.1,510,360,2040,1250,570,
0.2,480,280,2430,1170,480,
0.3,500,330,1860,1190,400,
0.4,430,330,1530,1080,550,
0.5,440,300,2240,1140,410,
0.6,490,290,2350,1180,420,
0.7,500,290,1970,1210,550,
0.8,500,380,2340,1230,430,
0.9,560,280,2770,1190,390,
1,560,420,2730,1490,420,
