 ,DA,SA,LL,TV,VEC
1e-05,860,810,2270,2470,590,
2e-05,650,830,2030,2120,640,
3e-05,740,820,2000,2100,660,
4e-05,670,820,2640,1920,670,
5e-05,870,710,1880,2140,630,
6e-05,580,690,2070,2060,580,
7e-05,710,800,2360,2020,700,
8e-05,770,810,2930,1990,680,
9e-05,760,860,2380,2190,750,
0.0001,720,730,2190,2030,780,
0.0002,750,1030,1990,2170,690,
0.0003,730,1110,2660,2010,600,
0.0004,910,1110,2640,2150,580,
0.0005,830,860,1560,2210,600,
0.0006,870,930,2850,2090,650,
0.0007,1050,1040,2660,2070,630,
0.0008,890,1040,1650,2270,640,
0.0009,1200,970,2450,2150,670,
0.001,1040,850,2650,2140,590,
0.002,1190,770,2390,2310,530,
0.003,1230,1000,2390,2380,620,
0.004,1260,840,2560,2330,580,
0.005,1070,760,2560,2370,700,
0.006,1210,790,2180,2350,530,
0.007,1380,980,2200,2300,660,
0.008,1190,920,2570,2300,770,
0.009,1130,820,3270,2420,730,
0.01,1330,840,2850,2180,640,
0.02,1330,1020,3180,2230,670,
0.03,1270,960,2610,2360,610,
0.04,1660,790,2630,2360,630,
0.05,1790,840,2410,2430,670,
0.06,1790,880,2220,2380,620,
0.07,1760,1060,2010,2230,670,
0.08,1950,860,2570,2240,660,
0.09,1970,780,1810,2090,630,
0.1,1840,850,2430,1960,690,
0.2,1750,900,3020,2150,620,
0.3,1760,800,2380,2140,620,
0.4,1720,810,2430,2000,600,
0.5,1910,1100,2620,2120,640,
0.6,1830,760,3190,2080,550,
0.7,1870,880,3200,2040,590,
0.8,1850,830,2480,2070,680,
0.9,1870,1180,3040,2120,560,
1,1610,950,2190,1970,680,
