 ,DA,SA,LL,TV,VEC
1e-05,1000,2907341,7537307,6900,411206
2e-05,1700,1993729,6506293,45600,255304
3e-05,1100,1970728,6475393,37400,239904
4e-05,1000,2242732,7958114,32500,292204
5e-05,900,2399734,6382591,32200,341105
6e-05,500,251403,6467092,10701,39400
7e-05,1200,1973128,6563793,40800,220903
8e-05,1000,962714,6719395,33901,139802
9e-05,1200,876212,6679696,32000,124802
0.0001,1000,2509036,6859697,50101,268904
0.0002,1100,1555623,8721224,33200,209902
0.0003,1700,2561937,8374919,35200,364406
0.0004,1600,2621737,6750496,44101,258604
0.0005,1200,66601,9434534,12001,11800
0.0006,2400,1808925,6623195,42100,234704
0.0007,2300,345705,6993999,15001,60101
0.0008,1900,2025529,6569393,46301,253304
0.0009,2300,880213,6947199,35500,139902
0.001,2000,445706,6741796,13901,62801
0.002,2200,2382734,6634895,39701,276304
0.003,2000,1655424,6274490,49500,164203
0.004,3600,1591122,6479193,48500,210403
0.005,2800,2135431,6310490,41700,270904
0.006,2600,2642938,6704795,39201,308104
0.007,2300,1376920,6370090,34601,127002
0.008,3001,2927141,6649494,5400,376706
0.009,2300,1583123,6744496,29700,169003
0.01,2600,1974228,6638895,47500,319105
0.02,2200,2096230,6347290,43301,230803
0.03,2500,1176517,6304690,21700,153502
0.04,3601,379405,6812597,11100,55201
0.05,2100,392105,6682596,9300,52000
0.06,2101,2213231,6137787,33301,221803
0.07,2800,1858427,6319290,36400,201103
0.08,3100,588308,6262190,24000,70301
0.09,2500,2305032,6262190,33000,301605
0.1,2400,2569637,6515793,37100,317305
0.2,2501,145911,6978529,9101,22002
0.3,2600,2724239,6844197,12901,326604
0.4,2900,2373034,6778397,27100,304105
0.5,3901,1551022,8034814,34400,194603
0.6,2200,461907,8426620,19300,71401
0.7,3100,958313,8332319,32401,267304
0.8,3500,339505,8400419,10600,48001
0.9,2700,550708,9635937,26300,72901
1,2400,1564724,8721834,33501,166202
