 ,DA,SA,LL,TV,VEC
1e-05,700,700,3000,2100,1600
2e-05,700,400,5301,2400,500
3e-05,700,500,4400,2100,600
4e-05,700,1000,3800,2400,700
5e-05,600,700,2600,2000,700
6e-05,600,400,2100,2400,1000
7e-05,1100,500,3100,2300,1100
8e-05,600,600,5000,2200,1100
9e-05,500,400,2000,2100,1600
0.0001,700,400,5600,2200,500
0.0002,700,1200,1700,2400,900
0.0003,900,500,2800,2300,1000
0.0004,700,500,1500,2300,500
0.0005,700,400,3500,2200,500
0.0006,600,600,6000,2500,1400
0.0007,800,500,3300,2100,600
0.0008,800,600,5100,2100,700
0.0009,700,400,6300,2300,600
0.001,800,600,5100,2400,900
0.002,600,700,4700,2100,800
0.003,900,700,3400,3600,1500
0.004,600,500,4900,2000,500
0.005,700,500,2100,2900,900
0.006,1100,600,4800,2000,500
0.007,900,500,5101,2600,600
0.008,900,700,4900,2500,800
0.009,700,600,3800,2200,800
0.01,600,500,5800,2400,1000
0.02,700,600,2000,2700,1000
0.03,1200,700,2800,2600,1400
0.04,800,600,1700,2900,1400
0.05,700,500,5300,2200,900
0.06,1000,600,4600,2000,900
0.07,900,700,2700,2600,1000
0.08,800,600,5800,2300,800
0.09,1400,600,4600,2301,1200
0.1,1100,800,2400,2100,900
0.2,1200,600,4100,2200,1100
0.3,800,400,2300,1900,500
0.4,700,900,2200,2200,2200
0.5,1000,400,2600,2400,700
0.6,1200,700,7200,2200,800
0.7,600,600,5600,2200,1300
0.8,1000,600,5100,2000,900
0.9,1500,600,4500,2600,1100
1,1300,1200,4600,3800,900
