 ,DA,SA,LL,TV,VEC
1e-05,520,989434,3338837,10070,122411,
2e-05,600,676589,3281637,16750,83191,
3e-05,490,918743,3227046,16080,117181,
4e-05,530,719580,3439809,14480,92941,
5e-05,500,1075455,3268686,16040,134401,
6e-05,450,315414,3511760,9700,45890,
7e-05,530,925163,3201526,17180,122451,
8e-05,570,792151,3214796,15920,103451,
9e-05,580,432106,3652622,13930,61210,
0.0001,550,839182,3208185,14860,109671,
0.0002,510,588518,3617441,14360,80551,
0.0003,750,935533,3780344,18160,457476,
0.0004,700,738790,3339487,16500,88191,
0.0005,690,952133,4161669,12610,116631,
0.0006,930,444746,3382268,11020,63850,
0.0007,1050,618199,3408728,13940,88321,
0.0008,1200,836131,3294217,15890,86061,
0.0009,1150,581548,3343288,14290,82151,
0.001,1260,351465,3322717,10080,46510,
0.002,1070,847662,3315717,17940,106921,
0.003,1020,783361,3317697,18850,96121,
0.004,1130,1042704,3287977,18530,134401,
0.005,1160,1011124,3158155,20300,136141,
0.006,1030,1039864,3229466,20900,129071,
0.007,1020,487217,3264937,13160,60710,
0.008,1010,1031184,3235536,13890,125701,
0.009,1100,1409450,3653282,15660,127051,
0.01,1000,680929,3284697,16530,92801,
0.02,1240,657189,3237836,10780,81151,
0.03,1250,1000424,3352457,14970,127811,
0.04,1420,667709,3325997,11010,92501,
0.05,1370,517217,3300007,13150,59260,
0.06,1390,735670,3209965,13880,82251,
0.07,2710,811421,3243596,14600,101751,
0.08,1810,632848,3313316,9720,82071,
0.09,1460,863652,3295407,14500,106601,
0.1,1480,937393,3190655,14750,114191,
0.2,1370,633579,3460952,14180,73361,
0.3,1500,745050,3588141,6780,99911,
0.4,1670,868793,3530815,9470,114232,
0.5,1390,956433,3544110,16310,122711,
0.6,1400,297564,3834154,9410,40810,
0.7,1450,831141,3799434,11820,113901,
0.8,1820,661420,4084169,10690,84351,
0.9,1340,793961,4392932,12880,98691,
1,1720,771171,4474114,13170,87961,
