 ,DA,SA,LL,TV,VEC
1e-05,2400,2400,3300,6200,1100
2e-05,1400,2200,5900,4200,2400
3e-05,1600,2400,3600,4200,1600
4e-05,1000,1700,4200,3700,1600
5e-05,1300,1500,5100,4200,1600
6e-05,1100,1800,5700,3800,1300
7e-05,1700,2400,3100,4500,900
8e-05,1100,2400,5800,4100,1400
9e-05,1000,2200,3000,4000,1800
0.0001,1700,1900,5200,4100,1300
0.0002,1700,2000,5100,5400,1000
0.0003,1600,2100,6000,3900,1300
0.0004,1900,2200,6300,5000,1300
0.0005,2100,1700,1600,4100,1800
0.0006,2000,3600,6100,4100,900
0.0007,3500,1900,5700,4600,1400
0.0008,1800,2700,4200,4400,1900
0.0009,2500,2300,6500,4300,1100
0.001,1500,1500,6700,3900,1200
0.002,3800,1300,6400,4800,900
0.003,2800,2000,2201,5400,1200
0.004,2000,2200,6500,4701,1000
0.005,2100,1800,4900,5300,1500
0.006,2900,1200,2800,4900,1300
0.007,2300,1500,5600,4100,2300
0.008,2100,2500,6401,4200,2200
0.009,2200,1200,7400,5100,1300
0.01,2400,1300,4200,4400,1200
0.02,2500,1300,6500,4000,1100
0.03,2800,1800,4800,4600,1400
0.04,2800,1400,7001,5600,900
0.05,3600,1201,5400,4700,1200
0.06,2900,2200,5400,4200,1100
0.07,2700,2900,3300,4101,1200
0.08,5200,1800,7200,4100,1100
0.09,4400,1400,3800,4400,1100
0.1,4400,1800,3301,4300,1100
0.2,3600,1901,7000,4500,1600
0.3,3200,1600,5600,4000,1800
0.4,3600,1300,3400,3800,1000
0.5,3500,2100,5900,3900,1100
0.6,4500,1100,7000,3800,1000
0.7,2800,900,6500,4100,1000
0.8,3501,1400,3400,3700,1200
0.9,3500,1900,5001,4200,1500
1,2500,1100,5200,3700,1100
