 ,DA,SA,LL,TV,VEC
1e-05,2070,2639818,3230837,9410,1172137,
2e-05,1960,843212,3356879,12730,106571,
3e-05,1160,486916,3400939,9010,60150,
4e-05,1510,897943,3243217,13100,99741,
5e-05,1670,790561,3171796,10460,135902,
6e-05,1460,1066785,3186946,8100,138672,
7e-05,1150,1214667,3144665,12560,142002,
8e-05,1440,864402,3122485,12800,113161,
9e-05,1270,1048945,3108285,9830,134052,
0.0001,1750,396385,3359299,11330,45960,
0.0002,1540,872032,3566651,7870,84241,
0.0003,1560,483886,3235887,11920,55390,
0.0004,2050,883603,3449030,9000,95361,
0.0005,2290,607008,3702794,9730,68600,
0.0006,1820,806631,3392369,9820,91531,
0.0007,2180,1058685,3420250,11190,117921,
0.0008,2220,605318,3332848,10200,73410,
0.0009,1920,1048115,3413659,13460,169672,
0.001,2310,976664,3329248,13270,101621,
0.002,2010,928133,3208255,16390,104881,
0.003,2290,1022174,3237725,12600,129461,
0.004,2170,693799,3259856,14170,75401,
0.005,2120,837752,3283926,14330,80380,
0.006,2010,918162,3255146,12670,98161,
0.007,2320,565558,3344667,13600,63210,
0.008,2000,229423,3421018,10410,30660,
0.009,1790,596588,3322787,18960,68391,
0.01,2180,495807,3331598,12490,51120,
0.02,2260,491076,3332967,13610,56960,
0.03,2290,804821,3250298,16730,76601,
0.04,1870,1088325,3158684,10590,122431,
0.05,2000,767510,3131623,11050,81571,
0.06,2000,818391,3164015,11480,89381,
0.07,1640,695959,3167300,13000,83111,
0.08,1950,641429,3190025,13200,75811,
0.09,2130,961533,3135644,12920,112531,
0.1,1820,563338,3338407,11180,59540,
0.2,1700,758100,3271066,10470,80471,
0.3,1600,1082935,3353307,13100,122251,
0.4,1580,1014714,3539330,17640,110101,
0.5,1320,788500,3653121,11450,101621,
0.6,1400,997114,3645481,9310,114031,
0.7,1770,607148,4145757,10250,72311,
0.8,1240,248073,4174784,10040,28870,
0.9,1680,890502,4303021,14440,99261,
1,1330,601848,4317593,11840,59731,
