 ,DA,SA,LL,TV,VEC
1e-05,900,389907,5949912,17600,381007
2e-05,1200,92002,5984112,22201,85101
3e-05,1100,261304,6043114,40801,250004
4e-05,800,336707,5952212,35200,321706
5e-05,600,66802,5826409,23601,65601
6e-05,900,72601,5901610,17401,68201
7e-05,1000,433109,7055532,20800,431709
8e-05,900,89102,6028513,21500,85402
9e-05,1100,334406,6230817,33401,307106
0.0001,800,77902,6123115,22500,69901
0.0002,1000,154903,6771428,24500,145903
0.0003,1500,74302,6033113,14300,70702
0.0004,1400,363307,6060414,24900,342607
0.0005,3600,186703,7255337,27500,179504
0.0006,1300,218904,7415239,48801,208404
0.0007,1500,100302,6278518,21000,103502
0.0008,1900,127002,6137316,21400,124802
0.0009,2900,189504,6213316,28701,191304
0.001,1600,329406,6096214,29501,340506
0.002,5100,324107,6131015,35401,308605
0.003,1900,136103,5935111,26101,135502
0.004,1100,336706,6083713,30501,335506
0.005,1200,184303,5181997,32700,178003
0.006,2200,205604,9770681,39401,196603
0.007,2200,187104,6081313,31300,175203
0.008,2200,95302,6423219,17401,91101
0.009,1600,306806,6137814,36500,339307
0.01,2500,214704,5961411,50101,192203
0.02,2700,97302,6324525,25900,101902
0.03,3000,1800,6260223,6800,2801
0.04,2100,249805,5614211,47901,234704
0.05,2001,366107,5596609,28000,341607
0.06,3800,304106,6003515,47501,256705
0.07,1700,189504,5708707,28200,206304
0.08,2600,199004,5716802,30901,201903
0.09,1400,62001,5395998,20600,63701
0.1,3600,417807,6124802,21901,393406
0.2,2000,200004,5625806,52901,191603
0.3,1600,170603,5772209,22300,169603
0.4,3100,227504,5994509,41501,220904
0.5,3500,362408,6072727,27001,376707
0.6,4100,247305,6274819,37401,249904
0.7,2600,64102,6049713,14901,67501
