 ,DA,SA,LL,CBT,TV,VEC
0.0001,716,509,722,16188,2201,145
0.0002,683,478,858,18538,2133,156
0.0003,663,473,741,8655,2208,137
0.0004,649,503,792,16249,2195,154
0.0005,704,486,877,11860,2093,158
0.0006,715,474,929,14254,2140,168
0.0007,652,488,765,12863,2193,148
0.0008,467,374,568,12008,1976,93
0.0009,569,417,734,11298,2208,132
0.001,586,421,716,14142,2152,126
0.002,651,412,873,10650,2121,121
0.003,702,466,872,12053,2397,139
0.004,659,410,773,10405,2171,119
0.005,829,502,886,9959,2095,151
0.006,751,458,772,14184,2264,145
0.007,744,443,679,27246,2328,132
0.008,484,336,673,6266,1827,101
0.009,769,479,983,13447,2329,135
0.01,667,442,733,7270,2163,129
0.02,6556,507,1124,9460,3882,150
0.03,571,320,726,12142,1805,92
0.04,784,490,792,14917,2413,146
0.05,589,344,821,6271,1896,96
0.06,595,344,570,5270,1908,97
0.07,773,488,991,13602,2593,144
0.08,774,469,762,12001,2203,134
0.09,975,521,902,18488,2201,155
0.1,554,338,653,9355,2049,96
0.2,666,387,919,13566,2083,100
0.3,885,475,843,9295,2554,155
0.4,932,513,1201,16379,2518,257
0.5,614,353,973,10881,1986,103
0.6,664,413,761,5032,2035,103
0.7,950,535,1128,13691,2421,157
0.8,894,479,1233,10644,2594,155
0.9,898,498,1228,15715,2338,147
1,995,533,1594,31016,2771,147
