 ,DA,SA,LL,TV,VEC
1e-05,500,600,4800,4100,400
2e-05,400,300,2100,4100,300
3e-05,400,200,5800,3500,300
4e-05,300,400,4301,3400,200
5e-05,400,200,2100,3500,200
6e-05,200,100,1900,3400,100
7e-05,300,200,2800,3600,300
8e-05,400,400,7000,3400,600
9e-05,400,600,3200,3300,300
0.0001,400,100,3800,3400,200
0.0002,500,1400,3600,3800,100
0.0003,900,500,3300,3900,300
0.0004,600,400,3100,3700,400
0.0005,700,300,2200,3500,300
0.0006,600,100,1900,3400,400
0.0007,400,700,2000,3800,400
0.0008,100,100,2500,3400,200
0.0009,700,300,2300,4400,300
0.001,600,300,5200,3801,400
0.002,300,500,4500,3600,400
0.003,700,300,5500,3300,300
0.004,600,400,5500,3800,200
0.005,300,200,2600,4000,200
0.006,600,300,3200,4800,200
0.007,300,700,6300,3800,500
0.008,600,600,3700,3400,300
0.009,800,500,5900,3700,1000
0.01,400,100,4100,3100,200
0.02,1100,1300,7000,3300,1000
0.03,701,700,3900,4200,300
0.04,1700,800,3900,4400,200
0.05,600,300,2300,3100,300
0.06,400,300,5900,3800,200
0.07,1900,500,6200,4000,400
0.08,1300,200,2000,3800,300
0.09,1900,900,3000,3200,300
0.1,1600,500,1200,3200,600
0.2,1500,500,4901,3700,500
0.3,1300,500,2300,4300,500
0.4,1800,401,5300,3700,1000
0.5,1600,300,4600,3300,200
0.6,800,200,4800,3300,300
0.7,2500,600,2100,4100,400
0.8,1300,500,6600,3300,400
0.9,1400,400,3300,4001,200
1,1400,600,3201,3300,200
