 ,DA,SA,LL,TV,VEC
1e-05,500,600,6300,3400,300
2e-05,600,300,4500,3400,200
3e-05,400,400,6300,3600,700
4e-05,500,1200,2900,4000,300
5e-05,300,300,5801,3700,600
6e-05,100,300,7200,3300,100
7e-05,100,500,2000,2900,200
8e-05,300,600,3800,3700,600
9e-05,800,200,2500,3000,200
0.0001,100,500,5600,3500,200
0.0002,300,200,5000,4100,200
0.0003,600,700,2200,4500,600
0.0004,600,300,6800,3500,300
0.0005,1300,400,3201,3400,400
0.0006,600,400,4101,3600,600
0.0007,600,300,3900,4200,500
0.0008,400,600,3700,3800,500
0.0009,1700,600,6800,3800,500
0.001,200,200,2600,3400,200
0.002,700,500,6300,4300,900
0.003,700,700,3400,4800,300
0.004,600,300,3200,4000,500
0.005,500,600,4300,3300,1700
0.006,1800,300,4500,3700,300
0.007,400,500,1400,3300,500
0.008,400,500,2300,3600,600
0.009,900,300,3000,3400,300
0.01,400,200,4200,4100,200
0.02,700,700,5800,3300,300
0.03,701,300,6700,3900,300
0.04,600,501,3000,4200,500
0.05,1800,500,2500,3100,300
0.06,900,500,2200,4200,300
0.07,700,400,1500,3900,300
0.08,1400,500,6501,3200,300
0.09,1000,400,3800,3500,300
0.1,1300,600,3300,4000,400
0.2,1000,200,2100,2900,300
0.3,1600,1000,6900,3600,700
0.4,900,400,2300,4400,400
0.5,900,600,3200,3500,600
0.6,1800,500,2500,3801,300
0.7,1200,500,5200,3700,300
0.8,1000,400,7100,3400,400
0.9,900,300,5701,3300,200
1,700,300,4700,4000,300
