 ,DA,SA,LL,TV,VEC
1e-05,1100,5300,3800,4101,900
2e-05,500,800,3600,3400,300
3e-05,1200,800,2500,3600,900
4e-05,700,1000,3500,3900,400
5e-05,400,500,1900,4100,500
6e-05,400,700,2700,4000,400
7e-05,900,2500,4800,3900,500
8e-05,1800,600,2500,3400,900
9e-05,600,900,4700,3300,500
0.0001,1000,900,4300,3200,500
0.0002,1200,900,5400,4100,800
0.0003,500,800,5200,3700,600
0.0004,1200,1200,2700,3500,1001
0.0005,700,600,3100,3200,800
0.0006,1600,1200,2900,3900,1100
0.0007,1400,1000,2300,3700,1600
0.0008,800,1000,2900,4001,700
0.0009,1200,1600,4900,4200,700
0.001,1400,1700,3600,5100,500
0.002,1300,1300,6600,4900,900
0.003,900,1500,4100,5300,600
0.004,1300,1300,3700,3900,500
0.005,2200,1800,5000,4500,1300
0.006,1400,1400,6700,3900,800
0.007,900,1000,6100,4101,600
0.008,1500,1500,6100,4800,800
0.009,1500,1500,4400,4900,700
0.01,1300,1600,6300,3800,1400
0.02,2400,400,4400,4600,600
0.03,1700,1700,4900,3900,500
0.04,1500,1300,2800,4400,600
0.05,2700,1200,4700,3700,1900
0.06,2300,1300,5100,3900,600
0.07,4000,900,4300,4100,700
0.08,2200,800,4501,4200,1200
0.09,2800,1700,5300,3700,600
0.1,3201,1500,4900,3600,800
0.2,2900,700,5900,3500,1100
0.3,4201,1200,4701,5001,501
0.4,3400,1000,4300,3800,900
0.5,3500,1100,3700,5001,800
0.6,3600,700,2400,3800,700
0.7,1900,700,4500,4800,500
0.8,3200,1800,5800,3800,600
0.9,2200,1300,7000,3200,900
1,2300,1200,6700,3900,700
