 ,DA,SA,LL,TV,VEC
1e-05,1100,10100,6900,4500,500
2e-05,1500,2100,4700,3800,400
3e-05,500,400,5500,3500,400
4e-05,800,2400,2500,5300,600
5e-05,400,600,2600,4501,300
6e-05,600,1800,3900,4100,900
7e-05,800,1400,6201,3800,500
8e-05,1500,1500,6000,4600,1201
9e-05,300,1000,3300,3400,300
0.0001,1000,1300,4700,4900,600
0.0002,801,1500,6000,4100,700
0.0003,2400,2200,4300,5600,600
0.0004,1500,1400,4001,4100,400
0.0005,1300,2401,2100,5900,500
0.0006,1500,800,7400,4900,1000
0.0007,1500,1700,6600,4800,700
0.0008,1900,1500,5800,4800,700
0.0009,2700,1900,4200,5100,600
0.001,2000,1500,6100,5400,500
0.002,1500,1900,6600,5100,1100
0.003,1900,1200,6601,4700,400
0.004,2000,2700,4600,4501,1000
0.005,2600,1400,4600,4600,500
0.006,2100,1900,5400,4100,500
0.007,2300,1300,5700,4801,800
0.008,2500,2400,7800,4900,600
0.009,2300,3700,8300,6300,1000
0.01,2100,1400,4400,6201,500
0.02,3500,1700,4900,5000,500
0.03,3100,1800,5100,4100,900
0.04,3700,1500,2800,4500,900
0.05,1600,700,4500,4200,700
0.06,2601,2600,3900,4500,1100
0.07,3300,1800,2500,4901,1300
0.08,4300,1200,7801,5800,500
0.09,2700,3500,6800,4100,1100
0.1,2400,1400,5400,6500,600
0.2,3700,1300,5700,5300,400
0.3,3800,1600,3800,5400,700
0.4,3400,2000,7100,3700,900
0.5,3000,2000,7000,3900,1200
0.6,3401,1300,7100,3900,1700
0.7,3600,1700,6800,3900,1100
0.8,4300,1200,5500,4600,500
0.9,2600,1200,8501,3900,900
1,3800,600,4900,4500,400
