 ,DA,SA,LL,TV,VEC
1e-05,1000,2500,4600,7300,900
2e-05,900,2100,8101,4200,1000
3e-05,1100,2200,5001,4900,500
4e-05,1600,1800,4400,5301,700
5e-05,1700,2200,3701,4900,600
6e-05,1801,2300,3500,4700,1300
7e-05,1200,1800,5800,5800,600
8e-05,2100,2100,4900,5200,600
9e-05,1800,1900,3600,4700,700
0.0001,1400,1600,6600,5901,800
0.0002,2900,1700,5000,6001,400
0.0003,2300,2100,4500,5301,300
0.0004,1900,2300,3800,5000,500
0.0005,1800,2100,5400,5600,600
0.0006,2200,2800,5600,7301,1200
0.0007,1500,3200,3900,4900,400
0.0008,2300,2400,6600,6700,1400
0.0009,1700,3400,7001,5200,1800
0.001,1700,3800,6400,5600,900
0.002,1800,3400,7800,5600,1000
0.003,2300,1800,7000,5600,900
0.004,1500,1600,7400,5000,400
0.005,3000,4400,6600,5600,1400
0.006,1800,3200,5201,5400,400
0.007,4200,2300,8500,5900,900
0.008,2300,2900,6400,4800,1500
0.009,1100,1000,6700,4200,500
0.01,1400,900,7100,4201,700
0.02,1500,1500,5000,5500,600
0.03,3200,4000,7000,6900,800
0.04,5600,2100,4100,4800,500
0.05,2500,2800,4501,6200,900
0.06,4300,1700,5400,4601,600
0.07,3500,2500,5600,4400,600
0.08,5100,3600,4100,4800,700
0.09,3800,2801,5800,4700,1200
0.1,4200,3500,5900,5000,1700
0.2,4300,2000,3000,6101,600
0.3,4600,1600,3400,5100,600
0.4,2100,900,5100,4400,1700
0.5,3700,2400,5000,6200,800
0.6,4600,2000,6700,4600,1400
0.7,5200,2400,7200,4600,1000
0.8,4701,2100,4300,4400,800
0.9,5000,4000,7600,3700,500
1,4400,1400,4400,5300,500
