 ,DA,SA,LL,TV,VEC
1e-05,1600,2500,16701,6200,1500
2e-05,1500,4401,16700,5500,1100
3e-05,1500,2900,10501,5600,1300
4e-05,1400,2800,17301,5300,900
5e-05,1100,900,9200,4100,900
6e-05,1701,1800,6300,4600,1300
7e-05,1300,2500,13400,4500,2000
8e-05,1800,2700,12301,4700,1700
9e-05,2400,2600,18200,6301,1500
0.0001,1601,2800,4100,4200,1100
0.0002,1500,2700,15101,5100,900
0.0003,1400,3000,11401,5700,1600
0.0004,1100,2400,4000,5900,1100
0.0005,3200,2300,8100,4400,1200
0.0006,2500,2700,14300,4600,1900
0.0007,1000,1700,5900,3900,1600
0.0008,1400,4200,19401,5600,1000
0.0009,1400,4300,14201,3900,1200
0.001,1100,3500,13400,4100,1200
0.002,3600,3800,17500,5100,1300
0.003,1501,3100,16700,4900,1200
0.004,2900,3000,2600,4800,1100
0.005,3200,3000,12400,6000,1100
0.006,3600,2200,14100,4400,1300
0.007,3100,2200,8000,4300,2200
0.008,1700,1800,10200,4300,1000
0.009,3000,1600,11501,4400,2000
0.01,3900,3100,14500,4901,1600
0.02,3000,2400,16801,4600,1600
0.03,2600,4300,14700,3700,1400
0.04,2400,2000,18300,5500,1501
0.05,4400,2700,13200,3900,2400
0.06,3100,2200,5800,3700,1300
0.07,2900,2900,2500,3700,1200
0.08,2400,3900,5300,3700,1500
0.09,2700,3600,15801,4600,1200
0.1,2700,1900,9000,4200,1200
0.2,4200,2100,8700,3901,1000
0.3,4001,2800,15900,3900,1100
0.4,5001,3100,3800,5100,1400
0.5,3100,1300,18801,3700,1500
0.6,3000,2100,2400,4100,1600
0.7,3700,5000,11800,4000,1500
0.8,4400,1900,4600,4200,1100
0.9,5600,2100,12701,4200,2500
1,3400,2301,15900,3900,2200
