 ,DA,SA,LL,TV,VEC
1e-05,750,2210,6880,2690,670,
2e-05,710,1770,7270,2840,620,
3e-05,660,1340,6410,2390,540,
4e-05,790,1400,7000,2240,670,
5e-05,750,560,5670,2250,560,
6e-05,780,960,4530,2410,590,
7e-05,760,1120,5480,2370,680,
8e-05,770,1110,6050,2510,690,
9e-05,750,1110,6490,2630,660,
0.0001,840,1530,5410,2340,680,
0.0002,930,1070,6480,2800,610,
0.0003,740,1410,4230,2700,610,
0.0004,780,1780,4610,2400,550,
0.0005,940,1410,5010,2460,660,
0.0006,1000,1380,5870,2360,790,
0.0007,940,1440,5750,2240,750,
0.0008,980,1880,5730,2330,630,
0.0009,920,1770,6770,2170,770,
0.001,1030,1640,8490,2110,760,
0.002,1270,1610,6120,2250,760,
0.003,1450,2030,4980,2700,650,
0.004,1520,1800,4920,2490,690,
0.005,1540,1390,6400,2480,670,
0.006,1490,1780,3900,2360,670,
0.007,1600,1430,4360,2250,760,
0.008,1240,1520,6580,2370,630,
0.009,1340,1320,6460,2060,720,
0.01,1570,1570,6000,2400,760,
0.02,1710,1220,6140,2600,640,
0.03,1520,1490,4550,2210,580,
0.04,1410,1200,6960,2170,720,
0.05,1580,1780,7290,2110,790,
0.06,1410,1250,5090,2060,710,
0.07,1640,1220,5770,2260,800,
0.08,1540,1330,3910,1960,740,
0.09,1510,1690,4460,2230,610,
0.1,1450,1350,4520,2180,610,
0.2,1760,1250,4500,2170,580,
0.3,1760,1530,6660,2100,770,
0.4,1930,1460,3020,2110,730,
0.5,1610,920,6110,2000,700,
0.6,1540,1260,4710,2210,610,
0.7,1790,1470,5140,2290,740,
0.8,1880,1370,5390,2020,740,
0.9,1960,1150,4920,2120,750,
1,2200,1290,4910,1970,720,
