 ,DA,SA,LL,TV,VEC
1e-05,700,280,3640,880,100,
2e-05,680,200,2780,1140,80,
3e-05,580,320,2640,740,100,
4e-05,520,160,4420,680,100,
5e-05,480,180,2560,1140,100,
6e-05,500,120,3180,640,140,
7e-05,560,380,3000,820,160,
8e-05,620,220,2280,940,200,
9e-05,600,180,3300,680,60,
0.0001,520,460,3180,1180,160,
0.0002,1000,200,2320,1100,80,
0.0003,920,160,3060,840,100,
0.0004,860,240,2020,980,80,
0.0005,1020,180,2000,1040,140,
0.0006,680,300,3760,960,200,
0.0007,1140,340,2640,820,120,
0.0008,1340,280,2440,880,140,
0.0009,1540,300,2640,880,140,
0.001,1260,200,1940,880,200,
0.002,1500,180,2820,1020,120,
0.003,1840,280,2420,960,140,
0.004,1520,160,2560,700,100,
0.005,1360,300,1440,760,100,
0.006,1620,220,3320,680,180,
0.007,1600,440,1900,920,80,
0.008,1500,160,2020,840,60,
0.009,1620,200,1860,680,80,
0.01,1440,200,3400,960,160,
0.02,1780,220,2280,820,120,
0.03,1380,180,3900,560,180,
0.04,1440,280,2740,880,120,
0.05,1620,160,2600,860,120,
0.06,1420,140,1640,640,100,
0.07,1340,200,2360,660,80,
0.08,1820,200,3100,760,100,
0.09,1400,240,1160,740,180,
0.1,1660,320,2640,680,100,
0.2,1980,120,3360,780,120,
0.3,2160,140,2420,880,100,
0.4,1440,220,3860,600,260,
0.5,1720,240,1820,800,140,
0.6,1880,220,3540,660,220,
0.7,2280,160,2880,820,220,
0.8,2000,140,1980,700,220,
0.9,4200,180,3460,800,180,
1,1700,240,2680,940,120,
