 ,DA,SA,LL,TV,VEC
1e-05,1000,400,1900,2000,200
2e-05,1100,701,2500,2000,600
3e-05,801,400,3000,1500,300
4e-05,200,300,3400,900,300
5e-05,700,300,2400,1200,300
6e-05,1200,300,1700,1400,500
7e-05,900,200,4701,1800,200
8e-05,800,400,3800,1300,301
9e-05,800,200,4200,1400,200
0.0001,700,300,5101,1600,300
0.0002,1200,300,2100,1700,200
0.0003,800,400,4201,1700,300
0.0004,1200,200,1200,1100,200
0.0005,1100,200,1900,1500,200
0.0006,1400,300,4901,1600,300
0.0007,1701,400,3700,1400,200
0.0008,1400,400,2101,1300,200
0.0009,1400,400,2100,1401,200
0.001,1600,300,4601,1800,300
0.002,1600,200,1600,1800,301
0.003,1600,400,4300,1200,400
0.004,2000,200,3400,1700,300
0.005,1800,300,3900,1300,100
0.006,1900,300,5300,1600,300
0.007,1800,200,2001,1400,200
0.008,2200,300,1500,1401,200
0.009,1900,300,1500,1601,200
0.01,2100,500,2500,1601,100
0.02,2101,300,3800,1400,300
0.03,2700,700,2601,1300,100
0.04,2200,300,2201,1600,300
0.05,2400,400,900,1401,300
0.06,2801,300,5500,1500,300
0.07,3100,400,3901,1700,600
0.08,2601,400,2800,1400,300
0.09,2700,200,3800,1701,300
0.1,1900,400,900,1800,600
0.2,2500,700,4901,1400,400
0.3,2100,300,5701,1300,300
0.4,2300,200,2000,1401,400
0.5,2000,300,3900,1000,300
0.6,1800,300,1100,1400,300
0.7,2500,300,3601,1400,200
0.8,2200,200,1700,700,300
0.9,2501,200,3500,1500,300
