 ,DA,SA,LL,TV,VEC
1e-05,1700,1224923,53539776,47501,1232123
2e-05,1600,3723268,52550259,15500,3591165
3e-05,900,2168639,53303272,84402,2100938
4e-05,900,2486345,52936565,101002,2454045
5e-05,1600,2403744,53502076,88601,2405544
6e-05,1200,269005,52970866,50600,252005
7e-05,900,196104,52810563,45901,168003
8e-05,1200,520010,53090368,20000,489509
9e-05,1700,3553365,53242471,99302,3472263
0.0001,1200,3999973,52782463,42901,3880570
0.0002,1300,3375162,55227907,104202,3294060
0.0003,1000,548610,52529758,44101,510009
0.0004,1700,1078120,52847264,32900,1019319
0.0005,1200,1617629,57513849,55101,1545529
0.0006,1900,2249241,52382951,114902,2196240
0.0007,1300,745513,52502253,51101,728713
0.0008,2300,1507528,53502371,42101,1476427
0.0009,1900,2839152,54512889,73302,2790250
0.001,2600,3790569,53237466,85902,3775968
0.002,2100,886906,53839797,41901,901406
0.003,3500,3844270,53454275,87501,3779869
0.004,2700,507109,54593191,53300,496909
0.005,3400,889914,52662591,39300,918014
0.006,2600,2962938,52882474,73301,2894036
0.007,2500,2343231,53062986,94101,2276530
0.008,2300,2030126,52435668,55201,1945125
0.009,3300,296303,52583392,28800,274004
0.01,3000,3754847,52349856,59001,3769047
0.02,2900,1261416,55748417,71901,2520333
0.03,2500,2103939,51815851,70601,2060338
0.04,2600,921517,52375763,39801,882316
0.05,2100,1093820,52084658,27200,1060520
0.06,3000,17901,51916355,18500,17500
0.07,3600,1991237,51585649,78401,2118939
0.08,3800,1333225,51914656,39501,1273823
0.09,4500,302805,51950955,15801,288905
0.1,2600,3799970,52022557,85401,3817470
0.2,3400,3424663,52290861,99302,3390262
0.3,3300,150803,52937668,49501,143003
0.4,5100,244105,53440277,55201,249805
0.5,4100,3314560,54148280,80602,3299060
0.6,3500,74702,54167690,44901,69001
0.7,2400,1688831,54000988,38801,1688231
0.8,5300,3907171,56155329,60701,3928172
0.9,3000,2141539,56655437,99002,2170140
1,4200,3199489,55428173,35602,3186688
