 ,DA,SA,LL,TV,VEC,CBT
1e-05,200,401,1800,3000,300,32600
2e-05,500,1100,2100,3300,300,20301
3e-05,300,400,1600,3400,300,17701
4e-05,200,700,1000,3201,300,30800
5e-05,100,100,1100,2900,100,32801
6e-05,400,500,1200,3201,600,18300
7e-05,200,300,1700,3900,400,24800
8e-05,300,500,1800,3300,600,22000
9e-05,600,200,2900,2900,200,17901
0.0001,300,200,1500,4000,200,15201
0.0002,400,600,1100,3500,400,24901
0.0003,700,700,3100,3200,200,25101
0.0004,300,200,900,4100,300,27501
0.0005,400,400,1800,4200,400,24601
0.0006,400,300,1200,3301,300,16300
0.0007,300,500,900,3101,200,30700
0.0008,600,200,1400,3600,300,33801
0.0009,500,300,1200,3001,300,22900
0.001,300,200,1000,3200,200,23400
0.002,300,700,900,3100,200,32500
0.003,500,400,1400,3401,300,25000
0.004,200,1600,1100,3900,400,29201
0.005,1000,400,2000,4600,300,24501
0.006,200,200,1400,2900,300,32300
0.007,500,400,1100,4200,300,39701
0.008,500,600,1800,3900,300,32301
0.009,600,700,1000,3300,200,22400
0.01,1200,700,3500,3500,700,23500
0.02,900,500,3901,3500,300,22800
0.03,1600,400,1400,3400,400,23400
0.04,1100,500,4200,3100,400,24801
0.05,1200,600,1400,3100,500,28401
0.06,1400,1200,2200,3200,400,24701
0.07,1100,500,1400,4100,300,32601
0.08,1100,500,2600,4100,300,21101
0.09,1000,500,3300,3200,300,30401
0.1,1000,300,2100,3200,200,24901
0.2,1100,300,1300,3400,300,24000
0.3,1200,1300,2500,3600,200,25801
0.4,900,600,1800,3100,400,31601
0.5,1000,300,2100,3100,300,24201
0.6,1200,500,1500,3200,300,35301
0.7,1501,500,1500,3700,300,34100
0.8,1000,600,2000,3800,300,23701
0.9,900,700,2500,3300,300,20000
1,1500,500,5400,4200,500,27500
