 ,DA,SA,LL,TV,VEC,CBT
1e-05,400,400,3501,4100,500,25200
2e-05,300,100,1100,3700,200,29200
3e-05,100,100,1200,3000,200,20700
4e-05,200,300,2200,3100,100,22000
5e-05,200,100,1400,2701,200,28400
6e-05,200,100,1900,2800,100,20800
7e-05,100,200,2800,3100,300,24600
8e-05,200,900,2400,3500,300,20901
9e-05,200,1201,2600,3900,300,18900
0.0001,200,300,1700,3400,700,22901
0.0002,300,500,3300,3400,200,32401
0.0003,700,300,2300,3300,300,33501
0.0004,200,400,1300,3500,300,20400
0.0005,400,200,1000,3300,200,25601
0.0006,500,800,4600,3200,600,15700
0.0007,200,400,2600,3400,300,28401
0.0008,200,300,1000,3601,300,23900
0.0009,800,200,2800,3100,100,29800
0.001,900,200,1000,3600,200,31701
0.002,800,500,1100,3400,300,27500
0.003,200,400,1400,3300,200,28401
0.004,700,500,1200,3300,300,24701
0.005,1100,900,2600,3301,700,25600
0.006,1800,600,3500,3500,300,19301
0.007,900,700,1400,3800,400,27801
0.008,600,1300,1900,3100,300,26500
0.009,800,400,3200,3300,200,26000
0.01,700,200,2200,3100,200,36000
0.02,800,400,1400,3200,300,34101
0.03,700,300,1700,7600,300,23001
0.04,900,600,1500,3200,400,22100
0.05,1700,300,1200,3700,200,32101
0.06,700,300,3300,3400,500,30001
0.07,900,400,4800,3300,300,21901
0.08,1500,700,2600,3500,500,29700
0.09,1100,1300,2100,3100,300,31501
0.1,1000,500,5100,3800,200,25901
0.2,1100,700,1700,4000,600,24201
0.3,1100,300,2600,3200,300,26501
0.4,1000,300,1700,3101,600,26200
0.5,1700,900,2000,3800,400,27000
0.6,1200,500,6100,3900,400,24800
0.7,900,400,2300,3300,300,33001
0.8,1000,300,2300,3000,300,24200
0.9,1200,2000,2500,4000,300,26200
1,900,400,2200,3100,300,31401
