 ,DA,SA,LL,TV,VEC,CBT
1e-05,200,400,3700,3100,300,20900
2e-05,100,300,3800,3000,200,20600
3e-05,100,500,1900,2900,500,30700
4e-05,500,400,2600,4500,500,32201
5e-05,300,600,1900,3500,200,23400
6e-05,400,500,3500,4000,500,158703
7e-05,300,700,2700,3500,1400,31901
8e-05,200,500,2100,3300,300,23801
9e-05,200,600,3200,3600,800,145003
0.0001,200,300,2900,3300,300,21700
0.0002,300,200,1100,3000,800,25500
0.0003,200,100,1101,3500,400,27400
0.0004,200,100,1300,3600,300,21001
0.0005,200,400,2200,3400,300,27001
0.0006,401,400,1700,3400,300,22000
0.0007,200,100,1000,3500,200,29400
0.0008,200,600,2600,3200,400,23900
0.0009,300,300,900,3100,300,33101
0.001,300,200,1200,3000,200,22401
0.002,800,600,3600,3100,300,27701
0.003,700,200,1600,3300,200,20800
0.004,900,1300,1500,3200,300,20700
0.005,1000,900,2900,4001,500,19700
0.006,700,500,1100,3200,300,26400
0.007,600,400,2800,3100,300,16600
0.008,700,300,1400,3300,400,29201
0.009,500,200,1200,3200,300,30401
0.01,500,400,1600,3400,400,21101
0.02,800,800,3300,3100,400,23601
0.03,1201,200,3300,3500,200,31700
0.04,1000,200,800,3500,200,32701
0.05,1000,200,1400,3200,200,26100
0.06,1100,400,1500,3400,300,22501
0.07,900,400,1200,3500,300,34201
0.08,1000,400,1500,3000,500,22001
0.09,1000,300,1300,3600,300,27501
0.1,1100,400,1200,3700,400,32201
0.2,900,400,4000,3400,700,25901
0.3,1200,600,3800,3200,1100,24000
0.4,1600,300,1900,3000,400,24901
0.5,900,500,1900,2900,300,30100
0.6,1200,400,4900,3300,500,32701
0.7,1000,700,4000,3300,500,35101
0.8,1300,300,2700,3100,300,31101
0.9,900,400,7400,3000,200,25801
1,1000,200,3200,3500,300,29301
