 ,DA,SA,LL,TV,VEC,CBT
1e-05,200,500,2900,3400,300,29401
2e-05,200,300,1300,3400,200,21800
3e-05,200,600,1100,3801,500,14900
4e-05,100,300,1100,3000,300,21501
5e-05,200,501,2300,3300,300,19300
6e-05,200,200,2000,3700,200,25701
7e-05,300,600,2400,3500,300,23100
8e-05,200,800,2200,3400,300,25700
9e-05,700,100,1200,3100,200,24100
0.0001,200,100,1100,3000,200,25200
0.0002,200,500,1300,3100,201,30500
0.0003,500,800,3000,3600,400,34501
0.0004,200,600,1000,3500,600,27300
0.0005,200,600,1400,3201,500,21100
0.0006,200,300,1300,3200,300,25301
0.0007,500,200,1600,3300,300,25501
0.0008,100,500,1200,3300,300,29500
0.0009,301,500,1300,3200,200,21200
0.001,700,200,1000,3201,300,28900
0.002,500,500,1600,3100,200,27301
0.003,300,200,1900,4000,300,25900
0.004,300,400,1200,3200,300,23400
0.005,600,900,2400,3500,300,28301
0.006,400,401,1400,3400,400,33200
0.007,600,800,1300,3800,900,26501
0.008,400,400,1400,3300,500,30500
0.009,900,700,1000,3300,300,35901
0.01,600,300,5800,3300,400,29600
0.02,1300,700,2400,3400,300,23500
0.03,800,200,1300,3500,300,25001
0.04,1000,600,1400,3900,800,32400
0.05,1300,500,5200,3200,600,30201
0.06,1600,501,1500,4700,300,35700
0.07,900,200,1400,3300,400,27501
0.08,900,1100,1900,3000,300,23900
0.09,1400,500,2700,3400,300,36101
0.1,900,400,4500,3900,300,30201
0.2,900,400,2100,3400,500,24401
0.3,1000,400,5300,3100,300,23200
0.4,1100,400,2000,3800,300,29201
0.5,900,600,1400,3000,300,28401
0.6,1000,400,2300,3300,300,25900
0.7,900,400,2300,3100,400,35701
0.8,900,400,3100,3100,300,34301
0.9,1000,500,6000,3300,600,47201
1,1200,1200,9300,3100,300,29201
