 ,DA,SA,LL,TV,VEC,CBT
1e-05,1700,1000,2201,3700,1000,22900
2e-05,300,200,1100,3400,300,31701
3e-05,200,200,1000,3300,200,22701
4e-05,200,200,900,3900,200,34101
5e-05,200,300,1300,3300,300,18000
6e-05,100,100,900,2900,400,18900
7e-05,200,200,1200,3200,201,23100
8e-05,200,100,1200,3400,200,29300
9e-05,200,200,900,3000,200,33100
0.0001,200,200,1200,3200,200,22300
0.0002,400,400,1000,3500,200,28301
0.0003,500,700,3900,3100,300,24200
0.0004,300,400,1100,3100,200,21500
0.0005,600,600,1800,2900,200,28300
0.0006,200,400,1200,3500,200,20900
0.0007,800,400,4000,3800,200,29701
0.0008,600,1700,1600,3800,700,31901
0.0009,700,500,5300,3000,300,28301
0.001,400,300,1600,3600,200,26901
0.002,600,300,4300,3700,400,31500
0.003,700,400,1300,3700,300,23201
0.004,1500,600,2500,3500,200,29500
0.005,800,800,1200,3600,500,23900
0.006,700,700,3000,3600,300,25500
0.007,700,500,1400,3200,200,27000
0.008,1500,300,1300,3100,300,31901
0.009,900,300,3700,3000,300,28001
0.01,600,700,2700,3200,300,20001
0.02,600,200,2300,3000,300,23601
0.03,700,300,2500,3000,200,31201
0.04,1000,300,1400,4100,300,31801
0.05,700,800,1300,3700,500,23301
0.06,1000,600,1600,3000,700,20001
0.07,1700,400,2300,3200,200,36900
0.08,1100,800,3100,5200,400,20501
0.09,1000,400,4001,4200,300,31100
0.1,1000,1100,1100,3300,300,42801
0.2,1500,400,1300,4300,400,19200
0.3,1001,200,2300,3500,300,33000
0.4,1300,200,1500,3700,300,29300
0.5,1000,300,2200,3100,300,28601
0.6,900,400,3600,3300,401,28300
0.7,800,200,4500,3100,200,24001
0.8,1100,400,2500,3300,200,22101
0.9,1000,300,2300,3300,200,23100
1,1400,700,2300,3201,400,29200
