 ,DA,SA,LL,TV,VEC
1e-05,4560,1961277,9464257,24182813,1142641,
2e-05,4700,1157681,9473358,23389898,1275504,
3e-05,6020,1126281,10119749,23370898,1142141,
4e-05,5400,1209882,9584539,23386638,1129281,
5e-05,5520,1087000,9392956,23460179,1131901,
6e-05,6420,1143781,9502038,22927469,1162122,
7e-05,6180,1153361,9362615,23160514,1102740,
8e-05,6320,1104100,9777243,23123413,1119581,
9e-05,7660,1127840,9760883,23283296,1190862,
0.0001,6640,1109700,9432017,23155073,1126941,
0.0002,7980,1250403,9177292,22950070,1121841,
0.0003,9880,1113200,9417436,23053872,1134981,
0.0004,9100,1279384,9787683,23346317,1133841,
0.0005,9620,1200362,9307494,23498660,1157401,
0.0006,10920,1263583,9995507,23188655,1154661,
0.0007,12040,1152641,10269732,23490060,1150541,
0.0008,12040,1192842,9583879,24324056,1155561,
0.0009,13340,1253543,9427436,23222175,1155481,
0.001,12260,1135801,9736982,23193715,1108200,
0.002,21020,1151381,9225393,23085732,1132921,
0.003,22380,1194942,9138271,23073672,1113101,
0.004,25760,1212322,9183572,23041692,1132081,
0.005,24900,1208182,9011529,23314136,1130101,
0.006,29800,1139521,9069290,23036872,1116080,
0.007,30340,1125240,8598681,23050772,1116380,
0.008,30200,1199922,9257873,23068931,1121361,
0.009,33961,1129581,8906226,23086452,1147741,
0.01,40040,1079000,8984208,23019751,1151321,
0.02,51461,1203422,8844206,23176634,1185762,
0.03,59841,1205922,8914307,23055872,1150821,
0.04,70761,1123701,9076269,23097433,1130841,
0.05,89781,1267043,8559240,23104692,1104220,
0.06,102322,1210743,8807084,23035111,1125501,
0.07,108962,1119221,8658762,23150374,1135221,
0.08,116322,1217683,8984568,23240595,1146301,
0.09,113902,1167862,9012868,23082992,1160582,
0.1,111462,1210022,8773984,23135354,1148561,
0.2,152883,1234942,9200671,23124990,1150501,
0.3,144542,1181362,9193772,23294916,1180662,
0.4,153402,1203322,9735682,23068312,1185062,
0.5,155883,1147641,9734602,23174314,1141961,
0.6,148182,1198042,9576039,23057572,1159781,
0.7,160182,1219922,9647916,23040480,1137900,
0.8,150923,1260150,9956274,23085002,1114205,
0.9,142062,1276904,9679081,23077451,1133121,
1,127122,1164241,10927365,23019391,1134621,
