 ,DA,SA,LL,CBT,TV,VEC
1e-05,1132,156,299,1788,441,73,
2e-05,1041,1119,275,1296,488,106,
3e-05,1181,1077,305,4250,419,131,
4e-05,4484,6852,191,149822,416,91,
5e-05,1635,102,291,1065,320,73,
6e-05,870,836,167,1725,281,76,
7e-05,1071,1082,247,5145,390,109,
8e-05,1157,73,211,5072,351,53,
9e-05,1155,58169,177,160601,370,100,
0.0001,2044,133,371,3987,493,80,
0.0002,1184,82,262,628,340,61,
0.0003,936,88,213,606,248,40,
0.0004,1376,75,229,724,344,47,
0.0005,509,123,255,600,388,52,
0.0006,1597,123,360,579,437,54,
0.0007,438,87,245,572,304,58,
0.0008,439,88,181,556,314,73,
0.0009,437,86,201,661,288,76,
0.001,422,101,233,706,327,77,
0.002,466,103,199,595,292,77,
0.003,503,87,175,608,287,55,
0.004,483,101,230,530,245,47,
0.005,511,70,183,546,269,45,
0.006,579,74,167,531,261,33,
0.007,461,94,229,467,288,50,
0.008,491,69,154,453,219,31,
0.009,507,71,142,488,250,51,
0.01,479,80,206,516,271,45,
0.02,446,71,173,441,211,43,
0.03,526,78,147,494,223,53,
0.04,1165,98,189,580,287,90,
0.05,493,74,167,441,215,51,
0.06,526,52,189,493,201,35,
0.07,567,79,248,527,241,32,
0.08,549,79,288,511,317,66,
0.09,569,57,197,445,200,29,
0.1,433,68,149,379,224,39,
0.2,696,86,208,624,262,55,
0.3,644,66,221,566,266,47,
0.4,704,70,205,555,246,45,
0.5,622,59,196,576,280,49,
0.6,686,77,525,631,321,50,
0.7,688,74,336,632,313,60,
0.8,924,129,696,1012,429,51,
0.9,934,81,439,691,335,76,
1,1906,147,370,716,345,112,
