 ,DA,SA,LL,CBT,TV,VEC
1e-05,388,193,437,2733,461,143
2e-05,587,192,596,1091,887,181
3e-05,226,114,659,841,436,120
4e-05,262,180,200,935,739,119
5e-05,229,346,176,1051,200,69
6e-05,364,141,339,1005,678,67
7e-05,237,118,321,781,708,113
8e-05,267,162,202,926,395,71
9e-05,303,51,240,750,569,47
0.0001,648,204,487,771,822,129
0.0002,694,97,273,1084,254,66
0.0003,811,165,673,1307,610,69
0.0004,622,88,320,936,815,66
0.0005,787,187,405,1033,366,68
0.0006,817,205,547,836,619,57
0.0007,628,142,257,793,466,81
0.0008,663,89,136,1143,416,64
0.0009,609,179,437,1023,639,159
0.001,862,190,350,1109,482,133
0.002,1172,283,650,1106,1036,173
0.003,917,131,274,1069,546,68
0.004,1024,418,539,1461,476,180
0.005,1044,70,318,715,445,67
0.006,1544,199,286,967,704,67
0.007,872,145,446,896,454,103
0.008,614,99,280,761,414,68
0.009,1139,134,350,792,463,75
0.01,1158,202,669,1064,665,66
0.02,929,174,309,836,491,162
0.03,1336,140,408,1306,520,126
0.04,1170,248,346,1079,379,230
0.05,1044,200,370,993,540,187
0.06,1383,79,596,975,545,95
0.07,1540,180,786,1606,343,69
0.08,1179,171,626,1269,911,170
0.09,1312,131,168,1019,394,63
0.1,1022,210,619,792,742,130
0.2,1551,194,427,1460,594,131
0.3,1433,72,364,991,578,66
0.4,1031,69,166,1014,335,67
0.5,1184,44,219,1165,440,52
0.6,1004,58,149,776,278,58
0.7,1636,168,874,903,428,54
0.8,1835,158,1087,1236,745,163
0.9,1526,141,531,1375,553,126
1,13691,546,2332,2929,1422,526
