 ,DA,SA,LL,TV,VEC,CBT
1e-05,1300,2400,2000,3100,400,27801
2e-05,500,800,3300,3100,500,22601
3e-05,1100,2100,2700,3400,400,24701
4e-05,400,500,1700,3100,300,29300
5e-05,300,500,4100,3101,300,23200
6e-05,700,700,5100,3100,1000,30901
7e-05,800,1000,3200,3600,500,26801
8e-05,1000,600,2900,4200,300,27601
9e-05,200,400,1600,3700,800,22601
0.0001,800,1000,1000,3400,200,35101
0.0002,600,1600,1300,3100,600,35500
0.0003,800,900,1400,3300,400,30401
0.0004,1600,600,3000,3500,500,37601
0.0005,800,600,1400,3100,300,26301
0.0006,900,600,1200,3100,400,29300
0.0007,1100,1801,1300,3500,500,33200
0.0008,1700,400,1400,3300,900,28000
0.0009,700,800,1000,3700,300,28000
0.001,1400,400,1100,3300,500,22800
0.002,1100,700,1200,3901,400,29400
0.003,1100,700,1800,3500,600,32201
0.004,1300,400,1600,3500,400,33201
0.005,1400,1100,1500,3100,600,15200
0.006,1300,700,2900,4300,500,24700
0.007,2600,1100,1300,3400,300,31401
0.008,1600,1400,1500,3700,900,22900
0.009,2200,1000,1500,3200,400,27301
0.01,2400,600,1300,3400,300,25900
0.02,4200,1300,2900,3100,400,35601
0.03,3000,1100,1201,3800,400,31600
0.04,2600,1300,3600,3900,1000,27100
0.05,2600,1200,2300,3500,300,27801
0.06,2900,400,1400,3200,300,40100
0.07,5301,800,1700,3600,300,31100
0.08,3100,1500,2900,3800,500,29201
0.09,2500,500,1100,3500,300,28600
0.1,3300,700,1300,3800,300,36201
0.2,5400,900,3200,3200,500,26200
0.3,4000,600,1400,3900,300,28901
0.4,5700,1300,6300,4100,400,30100
0.5,5600,1000,4600,4000,500,30200
0.6,4900,1100,1900,4200,500,32100
0.7,6301,600,1700,3300,300,29100
0.8,4700,800,2300,3200,1500,22901
0.9,4200,500,2500,3901,800,23200
1,4000,1400,2400,3300,700,37201
