 ,DA,SA,LL,TV,VEC,CBT
1e-05,600,4100,3900,4800,2100,21901
2e-05,500,800,1200,3600,300,21601
3e-05,1300,400,1500,3400,200,29601
4e-05,400,700,1000,3300,400,21700
5e-05,2000,400,1200,3000,200,28101
6e-05,600,400,1000,3800,200,26900
7e-05,400,300,900,3901,300,27300
8e-05,400,800,1000,3400,200,19501
9e-05,1600,1300,4000,3300,700,25101
0.0001,700,800,3600,3700,600,21101
0.0002,1101,700,1900,3100,700,33600
0.0003,1400,1100,2600,4000,700,16001
0.0004,1500,1800,1200,3800,300,32401
0.0005,800,1000,900,3200,300,27901
0.0006,1600,900,1800,4200,300,29801
0.0007,1000,900,3600,3900,800,19700
0.0008,1400,1300,3600,3500,600,28100
0.0009,1100,1800,2401,4300,700,25100
0.001,1400,600,1300,3400,400,29501
0.002,900,800,2100,3200,500,19400
0.003,1500,1700,1300,3400,600,23900
0.004,1300,900,1201,3500,300,29100
0.005,2100,1500,2500,3600,900,22400
0.006,2200,800,3500,3400,1400,37901
0.007,1700,600,3300,3700,1000,40601
0.008,3000,1200,3100,3500,900,23301
0.009,3600,700,1500,3700,300,26601
0.01,2900,1600,1400,3800,300,41301
0.02,3300,1000,1900,3300,300,30601
0.03,3700,1000,2900,3800,500,27901
0.04,4300,1100,2400,3300,900,24001
0.05,3700,1900,3300,3300,800,27600
0.06,2900,1000,2300,3200,700,25900
0.07,5601,900,3200,3500,500,25600
0.08,5100,1200,1500,4600,400,25900
0.09,4700,900,1600,3900,1000,24901
0.1,4400,900,2100,4000,500,34403
0.2,3700,1100,3800,3100,1100,26200
0.3,5800,1100,2900,3700,500,32101
0.4,5300,900,5500,3300,1200,26201
0.5,3300,800,2400,3400,300,34001
0.6,5900,800,1900,3300,500,29101
0.7,4500,1300,3301,3600,400,31200
0.8,3400,900,3300,3600,400,39601
0.9,5100,800,2200,3900,501,27400
1,4100,700,3800,3300,300,31200
