 ,DA,SA,LL,TV,VEC,CBT
1e-05,700,1100,1300,6000,500,20301
2e-05,600,700,1700,3301,500,20500
3e-05,1100,1200,2200,3601,400,19700
4e-05,500,400,1600,3100,400,27101
5e-05,800,300,1000,3300,300,30401
6e-05,600,600,1200,3300,400,28901
7e-05,400,300,1200,3101,200,23700
8e-05,500,200,900,3100,300,18101
9e-05,900,400,1200,3300,200,33201
0.0001,500,400,1200,3300,400,18001
0.0002,2200,1300,2100,3200,500,26501
0.0003,1100,700,2100,3200,500,26100
0.0004,1200,1000,1200,3700,300,27500
0.0005,2100,1000,5000,3600,500,27801
0.0006,1200,1000,1400,3900,1000,31501
0.0007,1400,900,1500,3100,500,41601
0.0008,1800,1000,3800,3600,700,32100
0.0009,2000,1800,2100,3301,1200,21200
0.001,1801,1200,1600,4000,500,35300
0.002,1600,1300,1400,3300,300,28201
0.003,1500,800,1300,3001,500,23200
0.004,3900,1000,1300,3500,600,22900
0.005,1900,1000,1500,3300,400,25401
0.006,1600,900,1600,3200,1000,22300
0.007,1800,1400,1600,3400,801,29800
0.008,2100,1400,1300,3400,800,28001
0.009,1200,1600,1600,3900,600,26601
0.01,2300,1800,1300,3500,400,27001
0.02,3100,1100,1300,3400,300,30401
0.03,3400,900,1400,3400,700,24701
0.04,3600,1600,3500,3400,700,32800
0.05,4300,1100,1400,3701,400,27800
0.06,2400,701,1900,3800,400,28400
0.07,5300,1400,1600,3500,400,30801
0.08,2500,1100,1800,3300,500,26501
0.09,4700,1500,1600,3800,300,30501
0.1,5300,1300,2300,4100,400,40701
0.2,5200,1500,4000,3300,400,24200
0.3,3500,1000,4600,3300,900,33101
0.4,5501,1100,2800,3800,600,30700
0.5,5900,1100,3500,3200,400,31201
0.6,6100,1800,7300,3600,700,37001
0.7,5700,1200,2200,3200,700,29401
0.8,3600,1000,2300,3601,400,29600
0.9,6100,1000,2300,4100,400,32700
1,3900,800,3500,3701,1000,34900
