 ,DA,SA,LL,TV,VEC,CBT
1e-05,900,4100,1900,4100,3100,20100
2e-05,1200,400,1600,3700,400,27801
3e-05,700,900,1500,3300,800,20301
4e-05,400,800,2000,3600,500,19100
5e-05,600,400,1200,3201,900,23800
6e-05,400,900,1300,3100,400,27401
7e-05,500,500,1000,3100,300,18600
8e-05,400,1500,900,3300,400,18400
9e-05,1200,1400,3100,3300,800,30201
0.0001,1200,1800,2100,4400,400,24801
0.0002,600,600,1300,3300,300,26901
0.0003,600,700,1200,3400,800,26701
0.0004,1100,500,1701,3400,400,26700
0.0005,900,2300,1700,3600,1000,28601
0.0006,900,700,1100,3200,300,25801
0.0007,500,1000,1100,3600,500,20000
0.0008,1100,1200,1700,3400,1001,28600
0.0009,1100,800,2000,3600,900,21600
0.001,1200,1001,1800,3300,500,28300
0.002,1700,1500,2500,3800,600,24001
0.003,1500,700,1200,3200,400,26200
0.004,1400,800,1400,3401,400,19400
0.005,1700,1600,2500,3600,500,25000
0.006,1600,1800,1400,3600,400,27100
0.007,3101,1400,3700,4900,700,23600
0.008,3200,1101,3300,3100,1000,24000
0.009,3500,1500,2600,3600,600,38001
0.01,3800,1800,3600,3200,500,27900
0.02,2800,900,1200,3700,400,26500
0.03,2200,1500,2000,7300,1000,31001
0.04,5100,1600,2901,3600,400,30300
0.05,4800,1200,3100,3600,600,24101
0.06,4700,2100,3701,3800,800,23800
0.07,3400,1200,1100,3301,300,31600
0.08,4800,1300,3200,3400,700,29001
0.09,6100,1100,2200,3800,300,30901
0.1,6300,800,2200,3800,800,30901
0.2,5900,1300,2300,3800,400,29100
0.3,4600,2000,5100,3500,700,29100
0.4,4100,1300,3600,3500,500,41001
0.5,5600,1200,4700,3800,600,23000
0.6,5400,1000,2400,3801,500,26400
0.7,4700,1100,1800,3500,500,31200
0.8,4800,600,6700,3900,600,36301
0.9,3600,900,2800,3800,400,34701
1,6800,1500,3500,3700,900,27801
