 ,DA,SA,LL,CBT,TV,VEC
1e-05,6087,165940,614301,928,6947,1334455
2e-05,936,9936,361122,1405,5656,943
3e-05,676,120792,341892,785,7974,6898
4e-05,536,137156,329005,976,3663,6391
5e-05,745,23905,279527,900,9586,910
6e-05,1798,140307,275214,957,1662,6616
7e-05,1438,319099,456898,1251,7550,13838
8e-05,696,113907,286323,828,5018,4373
9e-05,779,51749,275727,903,13039,1893
0.0001,4178,193268,274826,997,5864,7566
0.0002,596,128482,284472,547,5685,4701
0.0003,998,194934,311334,1049,3415,9362
0.0004,767,119086,285388,661,6855,3637
0.0005,908,77705,345005,905,11731,4832
0.0006,2201,160085,411445,1146,11542,5635
0.0007,1065,189898,358702,1028,4516,11809
0.0008,2301,105752,534800,1072,15232,4422
0.0009,1004,173976,298509,657,5390,7659
0.001,3159,197093,364351,23035,23850,27595
0.002,1144,39887,293377,757,7407,1439
0.003,1071,62701,422110,1533,10742,3197
0.004,1189,72257,290237,743,8274,3692
0.005,1272,9531,416058,926,3187,667
0.006,1604,128347,297540,1175,6813,6964
0.007,1614,79203,337312,726,12226,6290
0.008,1413,200493,363405,988,8552,10715
0.009,977,121282,286463,629,3414,4273
0.01,1047,7419,359988,1425,4418,1292
0.02,916,160582,287830,938,8269,9134
0.03,1076,99892,360257,1177,9745,4741
0.04,949,92818,296262,715,8788,4812
0.05,1896,357153,355946,898,4364,12850
0.06,784,112806,290137,860,12019,5166
0.07,791,204843,354335,1075,2124,11699
0.08,747,1492,295182,949,1266,266
0.09,1382,114489,363317,1130,4694,9053
0.1,708,138862,337026,722,6077,6898
0.2,1576,218918,412091,1641,6706,12798
0.3,1634,221085,450636,1271,13481,14099
0.4,1321,171850,323121,1220,14126,9992
0.5,1738,63701,397145,1167,12915,5279
0.6,1552,32441,336030,1127,6620,1206
0.7,1157,135963,358304,1048,7500,5024
0.8,1202,165614,467833,1680,6817,7238
0.9,2089,165631,431392,1003,6322,9716
1,1317,97121,412580,1166,11321,3720
