 ,DA,SA,LL,CBT,TV,VEC
0.0001,3167,49369,76439,2831669,259674,55592
0.0002,3658,32983,51419,2987105,265945,79742
0.0003,9772,65353,61988,3730528,309290,59790
0.0004,24419,44828,61081,3805553,249207,55610
0.0005,8601,33553,54120,3407428,257438,55755
0.0006,10480,33507,53596,3195604,240763,55680
0.0007,10032,33676,51195,2532043,229987,57451
0.0008,16166,34230,51251,2485563,223006,56663
0.0009,9223,33477,53081,2938759,223136,57494
0.001,4011,32769,51575,2690948,226656,56063
0.002,17587,84658,58601,2527895,255888,57616
0.003,15979,33013,50123,2591668,285163,56651
0.004,6879,33419,50371,2454609,223880,58680
0.005,7168,33306,51497,2334478,240836,55596
0.006,5996,48644,50230,2887435,363823,55575
0.007,7605,48142,50122,2368046,223615,55991
0.008,8730,33104,50054,3182524,257808,55879
0.009,10818,34725,58284,2849129,226019,56176
0.01,22871,34564,54915,2848334,239548,55532
0.02,14513,33502,51372,2739928,225027,56398
0.03,26647,54993,55883,2575332,250806,66914
0.04,13447,33198,57303,2430890,225359,56113
0.05,23756,36324,56469,2421873,227457,55848
0.06,24999,46693,61570,4775393,333882,80156
0.07,22824,56275,61169,4509514,307444,74269
0.08,29180,43333,58763,3675493,305981,81673
0.09,23154,48087,61439,3938609,367312,79727
0.1,24061,45937,68663,3733556,338616,92684
0.2,33812,33313,61211,2954419,239745,67800
0.3,24463,36515,74874,3072129,266275,59460
0.4,16153,35685,58869,2924871,240616,68763
0.5,18666,35943,61179,2579622,265394,60547
0.6,30690,40550,69307,3300911,288958,87125
0.7,28435,50681,89400,4777893,300257,83741
0.8,31878,79161,97894,4119916,323344,95140
0.9,23319,39144,75587,4209976,441074,103820
1,36339,52498,96928,3089264,273517,67606
